Time,Content
2021-11-30,万华化学股东合成国际合计质押1000万股 用于借款担保
2021-11-30,万华化学(600309.SH)：股东合成国际质押1000万股
2021-11-26,万华化学股东中凯信质押2700万股 用于债权投资质押担保
2021-11-26,万华化学(600309.SH)：中凯信质押2700万股
2021-11-26,万华化学(600309.SH)：12月份开始中国地区聚合MDI市场挂牌价 比11月份下调1500元/吨
2021-11-11,万华化学宁波工厂MDI装置例行停产检修
2021-11-11,万华化学：宁波工厂MDI装置例行停产检修
2021-11-11,万华化学(600309.SH)：宁波工厂MDI装置例行停产检修
2021-10-28,万华化学(600309.SH)：11月份起中国地区聚合MDI分销市场挂牌价同10月份相比没有变动
2021-10-20,万华化学前三季度营收破千亿 加强研发布局新材料业务
2021-10-19,万华化学(600309.SH)：匈牙利宝思德化学公司MDI装置复产
2021-10-19,A股异动 | 万华化学涨5% 第三季度净利润60亿元 同比增139%
2021-10-18,万华化学三季报：第三季度净利润60亿元 同比增139%
2021-10-18,万华化学(600309.SH)：前三季度净利增265.32%至195.42亿元
2021-10-12,乐橘科技完成B轮超亿元融资，由万华化学与高瓴创投联投
2021-10-11,万华化学(600309.SH)：部分检修装置已复产
2021-09-28,万华化学(600309.SH)：10月份开始上调中国地区MDI价格
2021-09-28,万华化学：上调10月中国地区聚合MDI分销、直销市场挂牌价
2021-09-15,万华化学挤上新能源这艘船
2021-09-13,开源证券：万华化学布局磷酸铁锂，继续看好各化工龙头迎来“价、量”齐升
2021-09-01,万华化学(600309.SH)：烟台工业园TDI、PO、PDH装置停产检修
2021-08-17,万华化学发行10亿短期融资券 票面利率2.35%
2021-08-17,万华化学跌3% 安信证券中泰证券高点喊买
2021-08-17,万华化学(600309.SH)：完成发行10亿元超短期融资券
2021-08-09,万华化学(600309.SH)烟台工业园MDI装置复产
2021-08-09,万华化学：烟台工业园MDI装置恢复正常生产
2021-08-02,万华化学(600309.SH)：监事王剑波窗口期增持公司股票
2021-07-30,万华化学第十一期及第十二期分别发行10亿短期融资券 票面利率分别为2.29%、2.55%
2021-07-29,万华化学2021年上半年净利135.3亿增长377.21% 产品价格增长
2021-07-29,万华化学(600309.SH)：拟将乙烯产业链相关资产转让给石化公司
2021-07-29,万华化学：上调8月份中国地区MDI价格
2021-07-29,万华化学(600309.SH)：8月份开始上调中国地区MDI价格
2021-07-29,万华化学(600309.SH)半年度净利润升377.21%至135.3亿元
2021-07-27,万华化学股东合成国际质押1100万股 用于借款担保
2021-07-27,万华化学(600309.SH)：股东合成国际质押1100万股
2021-07-19,万华化学发行2021年度第九期及第十期短期融资券合计17亿 票面利均为2.52%
2021-07-19,万华化学(600309.SH)：完成发行2021年度第九期、第十期超短期融资券
2021-07-19,万华化学(600309.SH)：完成发行7亿元超短期融资券
2021-07-09,万华化学：上半年净利润预计同比增长373%-380%
2021-07-09,A股异动 | 万华化学(600309.SH)高开近3% 上半年净利预增373%到380%
2021-07-08,万华化学2021年上半年预计净利134亿-136亿增长373%-380% 主要产品产销量同比增加
2021-07-08,MDI产能提升，万华化学预计2021上半年盈利134亿至136亿 同比增长373%至380%
2021-07-08,万华化学：预计上半年净利同比增长373%-380%
2021-07-08,万华化学(600309.SH)：上半年净利预增373%到380%
2021-07-05,北向资金净流入59.19亿 万华化学净买入11.53亿
2021-07-05,万华化学(600309.SH)：烟台工业园MDI装置7月10日开始停产检修
2021-07-01,万华化学：7月份中国地区MDI价格与6月份一致
2021-06-30,万华化学(600309.SH)：7月份中国地区MDI价格环比不变
2021-06-28,万华化学发行15亿短期融资券 票面利率2.6%
2021-06-28,万华化学(600309.SH)：成功发行15亿元超短融
2021-06-21,万华化学(600309.SH)：合成国际解质2326.61万股及再质押2008.57万股
2021-06-09,万华化学：未来非MDI业务的占比会逐渐提高
2021-06-03,蓝筹与科技轮涨 万华化学融资盘流入
2021-05-26,【公告抢先看】晚间重要公告：万华化学6月份中国地区MDI价格下调、中国人寿拟175亿元认购广发银行增发股份
2021-05-26,万华化学(600309.SH)自6月份开始下调中国地区MDI价格
2021-05-26,万华化学：6月份中国地区MDI价格下调
2021-04-28,【公告抢先看】晚间重要公告：万科A股东所持股票权益内部调整、万华化学下调5月份中国地区MDI价格
2021-04-28,万华化学：下调5月份中国地区MDI价格
2021-04-28,万华化学(600309.SH)：自5月份开始下调中国地区MDI价格
2021-04-27,社保基金一季度新增持31个股，持股市值最高万华化学达47.16亿元
2021-04-21,全球最大主权基金一季度已减持3只个股，涉万华化学等
2021-04-20,全球最大主权基金一季度减持万华化学、东方雨虹等股票
2021-04-20,万华化学：公司经营活动现金流及银行授信额度充足不存在债务风险
2021-04-20,万华化学：公司石化产品主要包括PDH、环氧丙烷、丁醇、丙烯酸及配套的丙烯酸酯和聚醚多元醇等装置
2021-04-20,万华化学(600309.SH)：完成发行10亿元超短期融资券
2021-04-19,万华化学(600309.SH)：2020年度拟10派13元 4月23日股权登记
2021-04-14,瞰鉴鲁股：板块总市值连续两周上涨 市值最大的万华化学却缩水最多
2021-04-13,A股异动 | 万华化学(600309.SH)涨6.41% 机构积极唱多做多
2021-04-12,业绩超预期 万华化学(600309.SH)却大跌超6%
2021-04-12,睿远傅鹏博10亿大举增持“化工茅”万华化学，高能环境也获加仓
2021-04-12,炸雷！两公司大幅下修业绩；四连板雪人股份氢能业务不足1%；万华化学一季度净利同比增逾380%
2021-04-12,明星基金经理一季报白马股持仓曝光：傅鹏博增持万华化学 葛兰增持通策医疗
2021-04-09,世名科技(300522.SZ)：与万华化学签署战略合作协议
2021-04-09,万华化学2021年第一季度净利增长380.82% 产品价格增长及销量增加
2021-04-09,【公告抢先看】晚间重要公告：龙星化工预计一季度净利润同比增6685％、万华化学一季度净利同比增380.82％
2021-04-09,万华化学(600309.SH)：2021年一季度净利升380.82%至66.21亿元
2021-03-31,A股异动 | 万华化学(600309.SH)跌逾6% 下调2021年4月份中国地区MDI价格
2021-03-31,万华化学跌逾5%，细分化工板块跌近3%，首创证券：化工估值已回归合理区间
2021-03-29,万华化学发行5亿短期融资券 票面利率2.72%
2021-03-24,万华化学出资24亿投资设立新的合资公司
2021-03-24,万华化学跌6%:去年缺增长 中信证券上月喊目标价196元
2021-03-24,万华化学(600309.SH)拟24亿元设立福建新材料推进东区项目 持股80%
2021-03-23,A股异动 | 万华化学(600309.SH)跌4.5% 年度净利润微跌
2021-03-23,化工板块弱势调整，化工龙头万华化学持续回落
2021-03-22,万华化学跌4%:去年缺增长 中信证券上月喊目标价196元
2021-03-22,化工板块快速回落，万华化学跌近5%，中泰证券化工：原油中期存回暖预期，龙头价值穿越周期
2021-03-17,万华化学三大产业集群稳步扩张 去年盈利100.41亿拟分红40.8亿
2021-03-16,万华化学发行20亿短期融资券 票面利率2.73%
2021-03-16,万华化学去年净利100亿元 同比微降0.87%
2021-03-16,万华化学(600309.SH)成功发行20亿元超短融
2021-03-16,万华化学(600309.SH)收涨% Q4业绩大超预期
2021-03-16,见微知著，从万华化学透视化工行业高景气， 宋涛：细分化工龙头是可以穿越周期的
2021-03-16,万华化学续聘德勤华永会计师事务所：去年审计费470万 德勤华永近3年未受处罚
