Time,Content
2021-11-22,IPO | 中国中免通过港交所上市聆讯，2020年零售销售额位列全球第一
2021-11-22,中国中免(601888.SH)：刊发H股发行聆讯后资料集
2021-11-18,11天6板，合力科技称不直接涉及新能源汽车；香港联交所审议中国中免H股IPO申请；马斯克连续7日减持特斯拉
2021-11-17,中国中免：香港联交所审议公司发行境外上市外资股（H股）
2021-11-11,中国中免首次公开发行境外上市外资股获证监会批复
2021-11-11,中国中免：H股发行获中国证监会批复
2021-11-11,中国中免(601888.SH)：首次公开发行境外上市外资股(H股)获中证监批复
2021-11-03,中国中免：9月份实体店销售已恢复正常
2021-11-02,A股异动 | 中国中免(601888.SH)再度逼近跌停 三季度毛利率大幅下降 机构出逃
2021-11-02,中国中免三季变脸市值年内蒸发逾3000亿 陆股通、汇金公司及陈发树均已减仓
2021-11-01,中国中免跌停 三机构合计卖出5.16亿元
2021-11-01,“免税茅”中国中免跌停 总市值跌破5000亿元
2021-11-01,中国中免(601888.SH)跌停 Q3业绩低于预期
2021-11-01,两年大赚超20亿！福建前首富、知名牛散陈发树精准抄底中国中免，建仓隆基股份三年股价涨1400%
2021-10-29,中国中免：前三季度实现净利润84.91亿元，同比增长168.35%
2021-10-29,中国中免第三季度净利31.32亿元 同比增40.22%
2021-10-29,中国中免(601888.SH)第三季度净利润31.32亿元 同比增长40.22%
2021-09-30,5000亿的中国中免：没多少鬼故事了
2021-09-30,中国中免盘初一度涨近6% 6家子公司可享15%企业所得税优惠税率
2021-09-29,中国中免(601888.SH)：6家子公司可享受15%的企业所得税优惠税率
2021-09-08,中国中免靠减租助净利增4.7倍 市值缩水3000亿陈发树接连减持
2021-08-30,方正证券点评中国中免：业绩高增长，离岛免税景气度持续
2021-08-27,中国中免2021年半年度净利53.59亿元 同比净利增加475.92%
2021-08-27,中国中免(601888.SH)：上半年净利增475.92%至53.59亿元
2021-08-27,中国中免：上半年净利润53.59亿元 同比增475.92%
2021-08-27,中国中免半年净利53.59亿元 同比增长476%
2021-08-27,中国中免：上半年净利53.59亿元 同比增长476%
2021-08-16,餐饮旅游股走强 中国中免(601888.SH)涨近4%
2021-07-12,中国中免一度涨近7% 创4月14日以来最大涨幅
2021-07-07,中信建投：中国中免业绩符合预期，维持“增持”评级
2021-07-06,5500亿“免税茅”炸了！半年狂卖355亿 净利猛增484%
2021-07-05,【公告抢先看】晚间公告：中国中免上半年净利同比增长484%、中国平安拟间接控制方正证券、北大医药
2021-07-05,中国中免2021年上半年净利54.35亿增长484.12% 各项工作取得新进展
2021-07-05,中国中免(601888.SH)半年度业绩同比增长484.12%
2021-07-05,中国中免业绩快报：上半年净利同比增长484%
2021-06-28,港股IPO|免税龙头中国中免拟赴港上市，一季度营收同比增长近1.3倍
2021-06-28,A股异动 | 中国中免(601888.SH)涨超4% 向香港联交所递交H股上市申请
2021-06-27,中国中免(601888.SH)：向香港联交所递交H股上市申请
2021-06-24,中国中免：公司赴港上市申请获证监会受理
2021-06-23,中国中免(601888.SH)：发行H股申请材料获中国证监会受理
2021-06-21,中国中免：由于目前疫情尚未平息 公司部分免税渠道经营仍受到一定影响
2021-06-10,中国中免(601888.SH)：2020年度权益分派10派10元 股权登记日6月21日
2021-06-03,安信证券：中国中免国内地位依旧稳固，给予目标价434.4元
2021-06-01,海南橡胶：目前公司和中国中免没有相关合作
2021-05-31,中国中免：公司目前在海南省拥有 5 家离岛免税店、3 家免税体验店
2021-05-31,中国中免：公司市内免税店是经国务院批准 按照有关规定开设的
2021-05-12,中国中免：公司海口美兰机场T2免税店将在美兰机场T2航站楼投入使用后开业
2021-05-12,中国中免：大兴机场免税店由公司控股孙公司中免集团北京大兴国际机场免税品有限公司运营
2021-04-30,中国中免：目前公司新近设立的“中免日上互联科技有限公司”负责为线上业务的开展提供支持
