Time,Content
2021-12-01,兆易创新涨停 22年关联交易预计额度透露自研DRAM或进入放量阶段
2021-11-30,兆易创新(603986.SH)：部分募集资金投资项目延期
2021-11-30,兆易创新(603986.SH)：向暂缓授予激励对象授予25.83万股限制性股票
2021-11-30,兆易创新：拟于12月16日召开2021年第五次临时股东大会
2021-11-30,兆易创新(603986.SH)自海丝民溪退伙
2021-11-23,兆易创新(603986.SH)：大基金已通过集中竞价减持332.9515万股
2021-11-10,兆易创新(603986.SH)：大基金已通过集中竞价减持649.0426万股
2021-11-10,兆易创新：大基金持有公司股份比例下降至5%
2021-11-04,兆易创新(603986.SH)：144.52万股行权股票将于11月10日上市流通
2021-10-27,兆易创新发布三季报：前三季度营收增长近一倍 净利润同比增长145%
2021-10-27,兆易创新(603986.SH)：第三季度净利增178.47%至8.62亿元
2021-10-27,兆易创新：第三季度净利同比增长178.47%
2021-10-15,兆易创新股东大基金拟减持不超665.73万股公司股份 上半年公司净利7.86亿
2021-10-15,兆易创新(603986.SH)：国家大基金拟减持不超1%股份
2021-10-15,兆易创新：大基金拟减持不超1%公司股份
2021-10-08,立讯精密、兆易创新涨逾5%，苹果产业链持续拉升走强！
2021-09-28,兆易创新、华峰测控、圣邦股份、上海贝岭涨超5%，芯片ETF（512760）涨超1%
2021-09-26,9月险资风向标：半导体行业高居C位，兆易创新迎密集调研
2021-09-24,基金公司调研重点发生变化，兆易创新备受青睐
2021-09-13,兆易创新(603986.SH)：67.48万股限制性股票将于9月17日上市流通
2021-09-08,9月首周152家公司获机构调研，芯片龙头兆易创新吸引近400家机构
2021-09-06,A股异动 | 兆易创新(603986.SH)涨约4% 拟对睿力集成增资5亿元
2021-09-03,兆易创新(603986.SH)：拟对睿力集成增资5亿元 将对其持股1.26%
2021-09-03,兆易创新等芯片公司迎来扎堆调研，基金机构积极参与
2021-09-02,兆易创新跌4.66% 招商证券近日上调评级至强烈推荐
2021-08-31,兆易创新跌停 招商证券刚上调评级至强烈推荐
2021-08-31,兆易创新(603986.SH)触及跌停 股东计划减持不超3.21%股份
2021-08-30,兆易创新2名股东拟合计减持不超2134万股公司股份 上半年公司净利7.86亿
2021-08-27,兆易创新2021年半年度净利7.86亿元 同比净利增加116.32%
2021-08-27,兆易创新(603986.SH)半年度净利润7.86亿元 同比增长116.32%
2021-08-27,兆易创新：上半年净利润7.86亿元 同比增116.32%
2021-08-13,【龙虎榜】兆易创新8月13日成交明细
2021-08-13,大摩看空报告带崩半导体？五大看空逻辑下兆易创新仍维持买入评级
2021-08-03,汽车芯片股持续走低 兆易创新等3股封跌停板
2021-07-29,兆易创新股东大基金减持1131.81万股 套现19.94亿
2021-07-29,兆易创新(603986.SH)：国家集成电路产业投资基金已累计减持1131.81万股
2021-07-27,兆易创新(603986.SH)：向激励对象授予股票期权346.31万股及限制性股票194.43万股
2021-07-27,兆易创新涨超8%，电子板块拉升走强
2021-07-09,兆易创新(603986.SH)：拟推2021年股票期权与限制性股票激励计划
2021-06-24,兆易创新(603986.SH)：16.0034万股行权股票将于6月30日上市流通
2021-06-18,兆易创新：公司与主要晶圆厂如中芯国际、台积电、联华电子、华虹集团等均有合作
2021-06-18,兆易创新：公司自有品牌DRAM产品目前已经正式量产推出
2021-06-02,【公告抢先看】晚间公告：大族激光中标10.03亿元新能源电池业务、大基金近日减持兆易创新0.28%股份
2021-05-31,兆易创新2名副总经理合计减持5.51万股 套现合计741.21万
2021-05-31,兆易创新(603986.SH)：两名高管减持完毕 合计减持5.51万股
2021-05-26,兆易创新：公司目前无回购公司股份计划
2021-05-25,A股异动 | 兆易创新(603986.SH)涨逾4% 机构预计今年全球存储芯片市场规模1552亿美元
2021-05-14,兆易创新(603986.SH)2020年度权益分派10转4派5.6元 股权登记日为5月20日
2021-05-14,兆易创新：公司募集资金主要用于研发1Xnm级（19nm、17nm）工艺制程下的DRAM技术
2021-05-14,兆易创新：公司在DRAM布局长期来讲是以利基市场为主能够达到30%、40%以上毛利的利基市场
2021-05-14,兆易创新：目前公司按计划2021年上半年推出首颗19nm的DDR4产品
2021-04-30,兆易创新：公司自有品牌的DRAM产品会在2021年上半年推出
2021-04-30,兆易创新：公司将于2021年上半年推出的自有品牌DRAM产品面向的市场主要是传统消费电子
2021-04-30,兆易创新：今年一季度公司各产品线毛利率均同比、环比上升
2021-04-28,A股异动 | 兆易创新(603986.SH)涨逾4% 一季度净利升79.43%至3.01亿元 券商唱多
2021-04-28,行业爆发毛利率却下滑 兆易创新遭创始人与大基金减持
2021-04-27,兆易创新(603986.SH)一季度净利升79.43%至3.01亿元
2021-04-27,兆易创新：一季度净利润同比增长79%
2021-04-22,兆易创新：包括电容触控、指纹等产品线出货量预计都会有所提升
2021-04-22,兆易创新：公司正在积极推进产品稳步进入车规市场
2021-04-22,兆易创新：公司车用相关产品与客户有广泛合作 但公司不对单个客户情况发表评论
2021-04-22,兆易创新：应支付补偿款2.258亿元计入公司交易性金融资产
2021-04-18,兆易创新2020年净利增长45.11% 董事长朱一明薪酬469.52万
2021-04-16,兆易创新(603986.SH)：2018年激励计划预留授予第二个行权期及解除限售期行权条件及解除限售条件成就
2021-04-16,兆易创新(603986.SH)2020年度扣非净利润降1.79%至5.55亿元 拟10转4派5.6元
2021-04-16,兆易创新年度报告：2020年净利润同比增长45% 拟10转4派5.6元
2021-04-09,兆易创新：公司MCU产品还会陆续有价格的调整
2021-04-09,兆易创新：公司2021年上半年即将推出第一颗自有品牌的DRAM产品
2021-04-09,兆易创新：大基金减持约1%股份套现9.13亿元
2021-04-09,兆易创新：大基金近期累计减持公司约1%股权
2021-04-09,兆易创新：国家集成电路产业基金累计减持1%
2021-04-09,兆易创新(603986.SH)：国家大基金减持数过半 累计减持1%股份
2021-04-02,兆易创新：公司正在积极推进产品稳步进入车规市场
2021-04-02,兆易创新：公司2020年三季报中关于2019年三季度的基本每股收益由1.53元重新计算为1.09元
2021-03-24,兆易创新：公司已根据一审判决结果在2019年度计提了相应预计负债和损益
2021-03-24,兆易创新：公司代销长鑫存储DRAM产品的销售金额计入公司营业收入
2021-03-24,兆易创新：目前规划中公司纯自研的DRAM产品是17NM工艺制程
2021-03-24,兆易创新：公司在2021年第一季度对MCU进行了一次调价
2021-03-04,兆易创新：公司在与现有供应商继续保持良好合作的基础上 仍在寻求与更多新供应商的合作
2021-02-18,兆易创新(603986.SH)：思立微收到最高人民法院出具的民事裁定书
2021-02-08,兆易创新(603986.SH)：2021年度拟开展外汇套期保值业务
2021-01-22,兆易创新(603986.SH)：国家大基金拟减持不超2%股份
2021-01-20,兆易创新(603986.SH)：使用20亿元暂时闲置募集资金购买江苏银行结构性存款
2021-01-15,兆易创新(603986.SH)拟向激励对象授予340.86万份股票期权与318.79万股限制性股票
2021-01-08,兆易创新：公司与国内厂商有广泛业务合作 国外一部分Tier 1的厂商已经在导入项目
2020-12-29,A股异动 | 兆易创新(603986.SH)涨近8% 推出2020年股票期权激励计划
2020-12-28,兆易创新(603986.SH)：拟向激励对象授予权益总计659.65万股
