Time,Content
2021-11-30,天风期货紫金矿业集团及其一致行动人合计增持2.1亿股 上半年公司净利408.42万
2021-11-23,紫金矿业：董事会同意对卡莫阿铜业投建50万吨/年铜冶炼厂项目进行内部立项
2021-11-23,紫金矿业(02899.HK)拟申请利用保险资金进行融资 总额不超150亿元
2021-11-23,紫金矿业(02899.HK)：卡莫阿铜业投建50万吨/年铜冶炼厂项目内部立项 总投资7.69亿美元
2021-11-23,紫金矿业(601899.SH)：拟利用保险资金进行融资 总金额不超150亿元
2021-11-23,紫金矿业(601899.SH)：董事会同意对卡莫阿铜业投建50万吨/年铜冶炼厂项目进行内部立项
2021-11-15,紫金矿业(601899.SH)：向39名激励对象授予251万股预留限制性股票
2021-11-08,“有色一哥”紫金矿业入股天风期货，产业系期货公司或成新风口
2021-11-06,3.5亿！“有色一哥”成期货公司第一大股东，“老板娘”曾是期货人！又有7城期货考试取消
2021-11-05,紫金矿业(02899.HK)：投资天风期货获得核准
2021-11-05,紫金矿业(601899.SH)：投资天风期货获得核准
2021-11-05,紫金矿业：投资天风期货获证监会核准
2021-11-03,紫金矿业：协议收购新锂公司能否成功存在不确定性
2021-11-02,紫金矿业：拟为塞紫铜提供不超0.68亿美元担保 为麻栗坡钨业提供不超5亿元担保
2021-11-02,紫金矿业(02899.HK)为控股子公司提供担保
2021-10-29,私募大佬隐形重仓股曝光！冯柳挖到翻倍股，邓晓峰狂买紫金矿业
2021-10-18,紫金矿业：前三财季归母净利113.02亿元，同比增长147.19%
2021-10-18,紫金矿业AH均高开 第三季度净利润同比增长116.34%
2021-10-15,紫金矿业(601899.SH)前三季度归母净利润113.02亿元 同比增长147.19%
2021-10-15,紫金矿业(601899.SH)：前三季度净利润增加147.19%至184.41亿元
2021-10-15,紫金矿业：第三季度净利润46.53亿元 同比增长116%
2021-10-15,紫金矿业AH股齐升 H股大涨超11% 塞尔维亚丘卡卢-佩吉铜金矿正式投产
2021-10-12,紫金矿业耗资50亿海外收购锂矿 标的去年获宁德时代4400万认购8%股份
2021-10-11,斥资50亿买锂湖，紫金矿业这笔买卖划算吗？
2021-10-11,紫金矿业50亿元收购加拿大新锂公司股权，成近期“买锂潮”最大生意
2021-10-11,紫金矿业AH股齐涨超4% 拟以49.39亿元收购加拿大新锂公司
2021-10-11,「抢锂」大战继续：紫金矿业50亿收购加拿大锂盐商Neo Lithium，首次布局锂矿产业
2021-10-10,紫金矿业(601899.SH)：拟以49.39亿元收购加拿大新锂公司
2021-10-10,为了锂，跨越太平洋豪掷50亿！“有色一哥”紫金矿业拿下顶级锂盐湖，股民高呼“紫金锂业”
2021-10-05,紫金矿业(02899.HK)获GIC增持186.6万股
2021-09-24,紫金矿业(02899.HK)获VanEck ETF-VanEck Gold Miners ETF增持843.2万股
2021-09-23,紫金矿业(02899.HK)为全资子公司不超8.5亿美元银团贷款提供担保
2021-08-19,紫金矿业跌5% 兴全基金董承非高毅邓晓峰是谁在减持
2021-08-05,紫金矿业(02899.HK)获GIC增持602.2万股
2021-08-03,新能源产业方兴未艾，紫金矿业或下场布局锂矿
2021-08-03,紫金矿业(02899.HK)：目前公司没有锂矿资源和相关业务
2021-08-02,紫金矿业(601899.SH)：有关锂等新能源矿种的布局没有具体的时间进度表和具体项目安排
2021-08-02,紫金矿业：公司有关锂等新能源矿种的布局是初步规划 没有具体的时间进度表和具体项目安排
2021-08-02,紫金矿业AH股均升超6% 中期净利66.49亿元 同比增长超1.7倍
2021-08-02,紫金矿业受益铜价大涨半年盈利66亿 多项目超预期推进全球格局进一步巩固
