Time,Content
2021-11-16,中国神华：杨吉平辞任执行董事及总经理职务
2021-11-16,中国神华：杨吉平辞任执行董事及总经理职务
2021-11-15,中国神华(01088.HK)：前10月煤炭销售量同比增9.6% 总售电量增22.0%
2021-11-15,中国神华(601088.SH)：前10月煤炭销售量同比增9.6% 总售电量增22.0%
2021-11-12,中国神华(601088.SH)：胜利发电厂一期工程2号机组通过168小时试运行
2021-11-11,中国神华(01088.HK)：国能惠州二期2×400MW级燃气热电联产机组工程项目获得核准
2021-11-11,中国神华(601088.SH)：国能惠州二期2×400MW级燃气热电联产机组工程项目获得核准
2021-11-01,中国神华(601088.SH)：四川江油煤炭储备发电一体化项目2号机组通过168小时试运行
2021-10-25,港股异动丨中国神华(601088.SH)涨逾4% 第三季度净利同比增长14%
2021-10-22,中国神华：第三季度净利147.25亿元 同比增长14%
2021-10-22,中国神华：第三季度净利147.25亿元，同比增长14%
2021-10-22,中国神华(601088.SH)：前三季度归母净利增21.4%至407.51亿元
2021-10-21,中国神华：拟于10月29日下午举办2021年三季度业绩说明会
2021-10-15,中国神华(601088.SH)：前9月煤炭销售量同比增11.8% 总售电量增21.3%
2021-10-15,花旗：上调中国神华(1088.HK)目标价至24.5港元 评级”买入“
2021-10-14,中国神华：胜利电厂一期工程1号机组通过168小时试运行
2021-09-16,中国神华(601088.SH)：前8月煤炭销售量同比增13.3% 总售电量增20.7%
2021-09-10,中国神华跌超5%，煤炭ETF(515220)跌近3% 盘中净流入超3亿元
2021-09-09,中国神华涨停释放什么信号？超市股机会来了！
2021-09-01,中国神华(601088.SH)：四川江油煤炭储备发电一体化项目1号机组通过168小时试运行
2021-08-27,中国神华2021年半年度净利260.26亿元 同比净利增加26.0%
2021-08-27,中国神华(601088.SH)：上半年归母净利增26.0%至260.26亿元
2021-08-27,中国神华：上半年净利润同比增长26% 预计下半年煤炭价格中枢有所回落
2021-08-13,中国神华(601088.SH)前7月煤炭销售量同比增15.0% 总售电量增22.5%
2021-08-02,中国神华：上半年净利润预计同比增长约26%
2021-07-30,中国神华2021年上半年预计净利260亿增长26% 煤炭市场需求旺盛
2021-07-30,中国神华(601088.SH)：上半年净利预增约26%
2021-07-30,中国神华业绩预告：上半年净利润约260亿元 同比增长26%
2021-07-16,中国神华(601088.SH)6月煤炭销售量4140万吨 同比增长8.4%
2021-07-05,中国神华(601088.SH)2020年度A股末期股息10派18.1元 股权登记日为7月9日
2021-06-17,中国神华：前5月煤炭销售量1.99亿吨，同比增加19.3%
2021-06-16,中国神华(01088.HK)5月煤炭销售量4050万吨 同比增长8.9%
2021-06-16,中国神华(601088.SH)前5月煤炭销售量同比增19.3% 总售电量增27.2%
2021-05-14,中国神华(601088.SH)4月煤炭销售量同比增38.1% 总售电量增22.6%
2021-04-24,中国神华2021年第一季度净利116.11亿增长18.4% 煤炭销售量增长
2021-04-23,中国神华(601088.SH)一季度扣非净利润升21.4%至115.83亿元
2021-04-23,中国神华：一季度净利116.11亿元 同比增长18.4%
2021-04-16,【公告抢先看】中国神华一季度煤炭销售量1.15亿吨 同比增长17.3%、ST康美下修业绩预期
2021-04-16,中国神华(601088.SH)：3月煤炭销售量同比升12.2%、总发电量同比升54.5%
2021-04-16,中国神华：一季度煤炭销售量1.15亿吨 同比增长17.3%
2021-04-08,中国神华(01088.HK)4月23日举行董事会会议审批季度业绩
2021-03-30,中国神华带动煤炭股全面大涨 震荡行情中关注高景气板块
2021-03-30,中国神华上市14年分红2700亿 煤炭产销量超预期达标率110%
2021-03-29,中国神华带动煤炭股全面大涨，震荡行情中关注高景气板块
2021-03-29,中国神华发布2020年度报告
2021-03-29,中国神华涨停刺激煤炭板块集体大涨
2021-03-29,拟分红360亿！中国神华A股封涨停板 H股涨近12%
2021-03-29,分红大超预期！中国神华H涨近10%，A股涨超7%
2021-03-28,高股息率个股名单来了：中国神华90%利润用来分红 已有连板先例
2021-03-27,中国神华2020年净利391.7亿下滑9.4%：总经理杨吉平薪酬100.6万
2021-03-26,中国神华2020年度净利391.7亿元 单位产品综合能耗、水耗均降到历史最低水平
2021-03-26,中国神华(601088.SH)：2020年度净利达391.7亿元 拟10派18.1元
2021-03-17,中国神华(601088.SH)：2月煤炭销售量同比增16.8% 总售电量同比增29.3%
2021-03-08,中国神华(601088.SH)：3月8日注销已回购的全部H股2110.05万股
2021-03-08,中国神华(01088.HK)3月26日举行董事会会议审批年度业绩
2021-02-28,中国神华(601088.SH)：国能基金已完成备案手续
2021-02-21,中国神华(601088.SH)1月煤炭销售量同比增25.5% 总售电量同比增25.3%
2021-02-19,中国神华：公司多次派团赴蒙就该项目与相关政府部门进行沟通交流
2021-02-09,中国神华(01088.HK)：国能基金完成工商注册登记手续并取得营业执照
2021-01-31,中国神华2020年预计净利392亿下降约9% 煤炭销售收入减少
2021-01-22,中国神华(601088.SH)：2020年煤炭销售量4.464亿吨 同比下降0.2%
2021-01-07,中国神华：中国神华将所持国家能源集团陕西富平热电有限公司100%股权转让给国家能源集团国源电力有限公司
2021-01-04,中国神华(601088.SH)：截至12月末累计回购2110.05万股H股
2021-01-04,中国神华(601088.SH)：锦界煤电一体化项目三期工程6号机组通过168小时试运行
2020-12-29,中国神华(601088.SH)：批准对四川能源增资约13.80亿元、对新朔铁路公司增资约21.25亿元
2020-12-29,中国神华(601088.SH)拟出资40亿元参与设立国能基金
2020-12-29,中国神华(601088.SH)：神东电力公司拟出售富平热电公司100%股权
2020-12-27,中国神华：锦界煤电一体化项目三期工程5号机组通过试运行
2020-12-27,中国神华(601088.SH)：黄大铁路(黄骅南至羊口段)正式开通试运营
2020-12-27,中国神华(601088.SH)：锦界煤电一体化项目三期工程5号机组通过168小时试运行
2020-12-23,中国神华(01088.HK)：赵永峰辞任非执行董事职务
2020-12-19,中国神华上市后累计分红2341亿元 高分红彰显“煤炭巨人”价值
2020-12-17,中国神华(601088.SH)：11月煤炭销售量同比增长2.6%
2020-12-09,中国神华(01088.HK)12月9日耗资228.1万港元回购15.8万股
2020-12-08,中国神华(01088.HK)12月8日耗资8628.56万港元回购604.55万股
2020-12-04,中国神华(01088.HK)12月4日耗资8195.2万港元回购566.2万股
2020-11-30,中国神华：新街台格庙北区已取得详查探矿权证和详查储量登记书
2020-11-16,中国神华(601088.SH)10月煤炭销售量同比增长10.4%
2020-10-27,中国神华：目前黄大铁路山东段已全部铺通
2020-10-26,中国神华前三季度净利335.62亿减少9.5% 煤炭销售量、销售价格同比下降
2020-10-25,中国神华(601088.SH)：拟独资设立国能巴彦淖尔煤化工有限责任公司
2020-10-25,中国神华(601088.SH)前三季度净利润降9.5%至335.62亿元
2020-10-16,中国神华(601088.SH)：9月煤炭销量4020万吨 同比增长8.6%
2020-09-21,[中国神华]中国神华入选“上市公司丰厚回报榜单”
2020-09-02,[中国神华]中国神华召开第五届董事会第三次会议
2020-08-30,中国神华2020年上半年净利206.58亿下滑14.8% 煤炭销量、价格同比分别下降
2020-08-19,[中国神华]国内首套等高式采煤装备在神东实现自动化开采
2020-07-30,中国神华上半年净赚207亿元
2020-07-30,中国神华上半年净赚207亿元
2020-07-30,中国神华2020年上半年预计净利约207亿下降约15% 煤化工产品平均销售价格下降
2020-07-30,中国神华：2020年半年度业绩报告预告
2020-07-30,中国神华：预计上半年净利润为204亿元 同比降16%
2020-06-28,[中国神华]国内首个智能化薄煤层综采工作面在神东贯通
2020-06-07,中国神华：关于派发2019年度末期股息的公告
2020-05-30,中国神华：2019年度股东周年大会、2020年第一次A股类别股东会及2020年第一次H股类别股东会决议公告
2020-05-30,中国神华：关于第五届董事会第二次会议决议的公告
2020-05-30,中国神华：关于第五届董事会第一次会议决议的公告
2020-05-28,中国神华副总经理张光德辞职 2019年薪酬为105.39万元
2020-05-18,强劲复苏信号！能源巨头中国神华4月煤炭销售量同比增长68%
2020-04-30,[中国神华]中国神华举办2020年一季报投资者网络交流会
2020-04-25,中国神华第一季度盈利98.07亿同比减少22.1% 信息化项目研究费用增加
2020-04-25,中国神华：2020年第一季度主要财务指标
2020-04-25,中国神华：关于第四届董事会第二十六次会议决议的公告
2020-04-21,柳钢股份、中国神华、盘江股份等38家公司连续三年股息率均超过3%
2020-04-15,中国神华：3月份煤炭销售量同比增2%
2020-04-09,中国神华：关于召开2019年度股东周年大会、2020年第一次A股类别股东会的通知
2020-03-31,中国神华置出280亿资产净利仅降1.41% 拟现金分红251亿同比增75亿
2020-03-28,中国神华：2019年年度主要财务指标
2020-03-28,中国神华：关于第四届董事会第二十五次会议决议的公告
2020-03-27,中国神华：2019年净利同比下降1.4% 拟10派12.6元
2020-03-27,中国神华：2019年净利同比降1.4% 拟10派12.6元
2020-03-19,中国神华2020年2月煤炭销售量合计30.3百万吨 同比下滑22%
2020-03-19,中国神华：2月份煤炭销售量同比降22.1%
2020-03-19,中国神华：2月份商品煤销量为30.3百万吨 同比下降22.1%
2020-02-28,[中国神华]严正声明
2020-02-23,中国神华：胜利一号露天煤矿产能核增40%
2020-02-23,中国神华：胜利一号露天煤矿产能核增40%
2020-02-19,中国神华公布1月份财务数据 商品煤产量24.1百万吨
2020-02-19,中国神华：1月份煤炭销售量同比增长4.2%
2020-02-19,中国神华：1月煤炭销售量同比增长4.2%
2020-02-19,中国神华：1月份商品煤产量为2410万吨 同比上涨14.2%
2020-02-18,[中国神华]国华电力太仓电厂做好新冠疫情下防寒防冻工作
2020-01-19,中国神华：2019年度煤炭销量同比下降3%
2020-01-19,中国神华2019年12月份商品煤产量2420万吨 同比下滑4.3%
2020-01-19,中国神华：2019年煤炭销量同比下降3%
2019-12-31,中国神华：关于第四届董事会第二十四次会议决议的公告
2019-12-17,中国神华：11月煤炭销售量同比下降2.3%
2019-12-17,中国神华：11月份煤炭销售量同比下降2.3%
2019-12-15,中国神华：国华印尼爪哇7号独立发电项目1号机组通过168小时试运行
2019-12-15,中国神华：国华印尼爪哇7号独立发电项目1号机组通过168小时试运行
2019-11-26,中国神华职工监事申林辞职 2018年薪酬为19万元
2019-11-22,[中国神华]中国神华2019年ESG议题识别调查问卷
2019-11-21,中国神华：10月煤炭销量同比下降12.2%
2019-11-21,中国神华：10月份煤炭销量同比下降12.2%
2019-11-13,“煤炭巨人”中国神华：绿色转型阶段性成果突出
2019-10-29,中国神华前三季度盈利370.88亿 同比增长5.1%
2019-10-29,中国神华：关于第四届董事会第二十三次会议决议的公告
2019-10-29,中国神华：2019年前三季度主要财务指标
2019-10-28,中国神华前三季净利370.88亿元 同比增5.1%
2019-10-28,中国神华：前三季度净利370.88亿元 同比增长5.1%
2019-10-28,中国神华：前三季净利370.88亿元 同比增5.1%
2019-10-19,中国神华2019年9月商品煤产量2100万吨 同比下滑12.9%
2019-09-20,中国神华：开启煤电重组先河 打造能源巨无霸
2019-09-18,中国神华2019年8月商品煤产量2340万吨 煤炭销售量3830万吨
2019-08-23,中国神华：2019年半年度主要财务指标
2019-08-23,中国神华：关于第四届董事会第二十二次会议决议及高级管理人员变动的公告
2019-08-23,中国神华上半年净利同比增近6%
2019-08-23,中国神华：上半年净利242.43亿元 同比增长5.5%
2019-08-23,中国神华：上半年净利同比增5.5%
2019-08-20,中国神华7月煤炭销售量达39.3百万吨
2019-08-19,中国神华：7月份煤炭销售量为3930万吨 同比增长12.3%
2019-08-19,中国神华：7月份煤炭销售量为3930万吨 同比增12.3%
2019-08-09,中国神华：2019年半年度业绩报告预告
2019-08-09,中国神华：2019年上半年业绩预告
2019-08-09,中国神华2019年上半年预计实现净利约242亿元 集团克服煤炭销售量下降的不利因素
2019-08-09,中国神华：预计上半年净利242亿元 同比增长5%
2019-08-09,中国神华：预计上半年净利242亿元 同比增5%
2019-07-17,中国神华：6月份煤炭销量同比增长32.7%
2019-07-17,中国神华：6月份煤炭销量同比增32.7%
2019-06-30,中国神华：关于派发2018年度末期股息的公告
2019-06-21,中国神华：2018年度股东周年大会决议公告
2019-06-21,中国神华：第四届董事会第二十一次会议决议公告
2019-05-11,中国神华：第四届董事会第二十次会议决议公告
2019-05-06,中国神华：关于召开2018年度股东周年大会的通知
2019-04-28,中国神华一季度净利125.9亿元同比增长8% 现金流量净额309.6亿元
2019-04-26,中国神华：2019年第一季度主要财务指标
2019-04-26,中国神华：第四届董事会第十九次会议决议公告
2019-03-27,冤！中国神华业绩微降2.6%便遭“下调评级”
2019-03-25,上证50板块普跌 中国神华跌逾3%
2019-03-25,[天津港]中国神华(01088.HK)2月煤炭销量增16.1%至3890万吨
