Time,Content
2021-12-01,工业富联(601138.SH)：子公司设立有担保最高为20亿美元境外中期票据计划
2021-11-30,工业富联：大股东已承诺解禁不减持
2021-11-30,工业富联回应限售股解禁：大股东早已承诺不会抛售
2021-10-29,工业富联(601138.SH)：第三季度净利增13.69%至42.80亿元
2021-10-25,倒计时！工业富联最新灯塔工厂白皮书即将发布
2021-10-22,工业富联持续布局数字业务 携手云高科技推出电动车云服务软件商店
2021-09-29,工业互联网50佳榜单发布 工业富联再度入选前十
2021-09-23,A股异动丨工业富联(601138.SH)涨逾4% 拟斥10亿元-15亿元回购股份
2021-09-23,工业富联拟不超15亿回购；永太科技三季度净利预增逾15倍；特变电工子公司获154亿大订单；多公司发停产公告
2021-09-22,工业富联：拟出资最高15亿回购股份 用于员工持股计划
2021-09-22,工业富联：拟以10-15亿元回购股份 用于员工持股计划
2021-09-22,工业富联拟以10亿至15亿元回购股份
2021-09-22,工业富联(601138.SH)：拟斥10亿元-15亿元回购股份
2021-09-22,工业富联：拟以10亿至15亿元回购股份
2021-09-17,工业富联(601138.SH)：175.3945万股限制性股票将解锁上市流通
2021-09-13,工业富联(601138.SH)：6.38万份股票期权可行权、175.39万股限制性股票拟解除限售
2021-08-31,工业富联上半年营收净利双增 新款iPhone发售“果链”将迎利好
2021-08-25,传工业富联加大投资半导体产业 积极布局数据中心及车用芯片等相关领域
2021-08-19,工业富联(601138.SH)拟出资5000万元参与设立投资基金
2021-08-17,工业富联依赖投资收益扣非增9% 市值缩水2900亿股价连续三月破发
2021-08-13,工业富联：存量增量双增长 多家机构看好发展前景
2021-08-12,工业富联：盈利能力稳步提升 多家机构给出买入评级
2021-08-11,工业富联发布上半年业绩股价跌近3% 扣非净利增8.6%
2021-08-10,工业富联：2021年上半年营收1960.30亿元，5G业务成长3倍
2021-08-10,工业富联发布半年报：净利润同比增长超33% 研发费用同比增长超40%
2021-08-10,工业富联半年报：上半年净利67.27亿元 同比增长33%
2021-08-10,工业富联(601138.SH)：上半年净利增33.44%至67.27亿元
2021-07-27,工业富联发布浸没式液冷数据中心解决方案 能耗降低10%
2021-07-27,工业富联发布浸没式液冷数据中心解决方案，能耗降低10%
