Time,Content
2021-12-01,上汽集团(600104.SH)截至11月底已累计回购2649.78万股
2021-11-25,【晚间公告抢先看】水井坊拟再次上调回购金额至8450万元-1.69亿元、上汽集团拟分拆子公司至科创板上市
2021-11-25,上汽集团(600104.SH)：拟分拆所属子公司捷氢科技至科创板上市 独立氢能和氢燃料电池业务
2021-11-25,上汽集团：拟分拆子公司捷氢科技至科创板上市
2021-11-05,【龙虎榜】上汽集团11月5日成交明细
2021-11-05,A股异动 | 上汽集团涨8% 10月份新能源车销量增长近六成
2021-11-05,A股异动 | 珠海冠宇(688772.SH)大涨8.67% 将为上汽集团开发和供应智己LS7车型的12V锂电池
2021-11-04,上汽集团(600104.SH)：10月整车销量同比下降2.44%、新能源汽车销量同比增长58%
2021-11-04,上汽集团1-10月整车合计销量420.11万辆 同比下降0.21%
2021-11-04,珠海冠宇(688772.SH)：将为上汽集团开发和供应智己LS7车型的12V锂电池
2021-11-01,上汽集团(600104.SH)：截至10月底已累计回购2378.72万股
2021-10-29,上汽集团(600104.SH)：第三季度净利降14.75%至70.36亿元
2021-10-29,上汽集团：拟投设飞凡汽车 加快发展中高端智能电动车自主品牌
2021-10-10,上汽集团(600104.SH)：9月销量51.58万辆 同比下降14.36%
2021-10-10,上汽集团：9月整车销量合计51.58万辆
2021-10-07,上汽集团(600104.SH)截至9月底已耗资约4.27亿元回购2155.72万股
2021-09-13,上汽集团：耗资4984.7万元首次回购股份
2021-09-13,上汽集团(600104.SH)：首次回购240.81万股 涉资4984.66万元
2021-09-10,A股异动丨上汽集团(600104.SH)涨近4% 拟斥15亿元-30亿元回购股份
2021-09-10,3连板红星发展提示风险；上汽集团拟15亿-30亿元回购股份；南玻Ａ拟50亿元广西北海投建光伏项目
2021-09-09,上汽集团将花不超30亿元回购公司股份 用于股权激励
2021-09-09,上汽集团：拟15亿元-30亿元回购股份
2021-09-09,上汽集团(600104.SH)拟斥15亿元-30亿元回购股份
2021-09-06,上汽集团(600104.SH)：8月销量45.34万辆 同比下降10.08%
2021-08-26,上汽集团2021年半年度净利133.14亿元 同比净利增加58.61%
2021-08-26,上汽集团(600104.SH)半年度净利润133.14亿元 同比增长58.61%
2021-08-26,上汽集团：上半年净利润同比增58.61% 汽车市场复苏效应明显
2021-08-06,上汽集团(600104.SH)：7月销量35.25万辆 同比下降22.95%
2021-07-23,上汽集团(600104.SH)：拟向河南省慈善总会捐赠1000万元现金及100台防汛救灾车辆
2021-07-22,上汽集团(600104.SH)2020年度权益分派10派6.2元 股权登记日为7月29日
2021-07-15,上汽集团(600104.SH)：国有股份无偿划转完成
2021-07-09,上汽集团(600104.SH)：6月销量32.862万辆 同比下降31.46%
2021-07-09,上汽集团：6月销量32.86万辆
2021-06-23,盛路通信：关于汽车天线主要供应上汽集团、广汽集团、通用五菱旗下主力车型
2021-06-18,上汽集团：新能源车型销量在同行保持国内第一
2021-06-18,上汽集团：上汽荣威换电车型于今年3月正式发布
2021-06-18,上汽集团：销量增幅的降低主要受到供给端芯片短缺所致
2021-06-18,上汽集团：公司将在智能驾驶、燃料电池等领域持续加大投入
2021-06-18,上汽集团：公司将在智能电动等创新领域持续投入 全面向高科技企业转型
2021-06-18,上汽集团：公司发布的产销快报中各整车企业的产销量包含出口量
2021-06-18,上汽集团：上汽乘用车分公司设计产能下降系南京基地关停部分老旧产能所致
2021-06-09,上汽集团(600104.SH)拟向韩红基金会捐赠200万元以及30台荣威和名爵品牌车辆
2021-06-04,上汽集团：全新奥迪A7L和Audi concept Shanghai预计将于2022年一季度正式登陆中国市场
2021-06-04,上汽集团(600104.SH)：5月销量合计40.67万辆 同比降14.02%
2021-06-01,耀皮玻璃：公司汽玻的主要客户是上海通用 上海大众、上汽集团、广汽、外销等
2021-05-24,上汽集团：公司新一代燃料电池电堆产品PROME M3的一级零部件已全部实现国产化
2021-05-21,江苏银行与上汽集团云数据中心签署战略合作协议
2021-05-11,上汽集团(600104.SH)：4月销量合计41.95万辆 同比增0.47%
2021-05-11,上汽集团：前4月汽车销量156.2万辆 同比增长42%
2021-04-30,上汽集团一季度营收1890亿元，整车销售增长六成多
2021-04-30,上汽集团一季度净利润68亿元 同比增长511%
2021-04-30,上汽集团一季度净利润68亿元 同比增长511%
2021-04-29,上汽集团(600104.SH)一季度净利润68.47亿元 同比增长510.83%
2021-04-21,中海达：公司相关产品已应用在小鹏汽车、上汽集团等汽车制造企业
2021-04-20,上汽集团：2020年公司携手华为、中国移动在嘉定建设了全球首个“5G智慧交通示范区”
2021-04-16,上汽集团：2020年享道出行引入阿里巴巴和宁德时代等战略投资人完成A轮融资
2021-04-13,上汽集团：汽车芯片短缺的主要原因是供需不平衡
2021-04-09,上汽集团：一季度累计销量114.24万，同比增长68.24%
2021-04-09,上汽集团：一季度汽车累计销量同比增长68.24%
2021-04-08,上汽集团：公司积极推进营销体系变革通过“云发布”、虚拟展厅、视频直播等手段
2021-04-08,上汽集团：上汽集团与宁德时代、QuantumScape、SolidEnergy、清陶等企业开展战略合作
2021-04-08,上汽集团：公司整车产销规模、新能源汽车销量、整车出口海外销量均排名全国第一
2021-04-08,上汽集团：上汽通用五菱2021年1-2月销量为15. 9万台
2021-04-08,上汽集团：公司结合荣威新“狮标”和新R标、五菱全球“银标”、大通EUNIQ等品牌焕新工作
2021-04-08,上汽集团：公司正通过加强全球供应链协同等措施尽量减小影响
2021-04-08,上汽集团：公司还携手阿里巴巴和张江高科 打造智能电动汽车高端品牌“智己汽车”
2021-04-08,上汽集团：虽然芯片短缺情况会持续一段时间 但上汽有很强的产业链体系优势
2021-04-07,上汽集团：上汽奥迪项目正常推进中 首款产品预计于2022年上市
2021-04-06,金力永磁：上汽集团、蔚来、理想汽车都是公司的最终用户
2021-04-02,上汽集团：智己汽车的首款量产版车型将于今年4月上海车展期间接受预订
2021-03-29,上汽集团：智己汽车和R汽车两个品牌会在产品、技术等方面发挥好协同效应
2021-03-26,2000亿上汽集团年报来了！业绩下降20%，派现近72亿，这一数据国内第一！
2021-03-26,上汽集团去年归母净利润204亿元 同比下降20%
2021-03-25,上汽集团2020年度净利润下降20.2% 新能源车销量同比增长73.4％
2021-03-25,上汽集团2020年净利下滑20.2% 董事长陈虹薪酬138.92万
2021-03-25,上汽集团(600104.SH)2020年度净利润降20.2%至204.31亿元 拟10派6.2元
2021-03-22,上汽集团：公司将推出更多符合消费者审美和品牌定位的汽车产品
2021-03-22,上汽集团：上汽大众ID.4 X按计划将于2021年3月底上市交付
2021-03-21,自动驾驶公司Momenta获5亿美元融资，上汽集团、丰田等参投
2021-03-09,上汽集团：上汽集团在“纯电、插电、燃料电池”三条技术路线全面推进
2021-03-09,上汽集团：首款产品预计于2022年上市首款产品预计于2022年上市
2021-03-09,上汽集团：上汽集团在中/低/高端汽车均有产品和业务布局且有新能源汽车产品在售
2021-03-09,上汽集团：上汽大众和上汽通用均有在售的新能源车产品
2021-03-08,上汽集团：2月销量同比增长420%至24.65万辆
2021-03-07,上汽集团(600104.SH)：2月份销量合计24.65万辆 同比增长420.38%
2021-03-07,上汽集团：前2月累计销量同比增45%
2021-02-22,牵手地平线，上汽集团进军汽车之“芯”
2021-02-09,全球首款5G智能电动SUV —MARVEL R上市！上汽的“新四化”与新能源的后半场
2021-02-08,上汽集团：上汽集团在“纯电、插电、燃料电池”三条技术路线全面推进
2021-02-08,上汽集团(600104.SH)1月销量40.31万辆 同比增长0.72%
2021-02-02,三花智控：子公司再次成为上汽集团独家零部件供货商
2021-01-29,[上汽集团]瞄准海外市场巨大增长空间 上汽立下十四五“小目标”
2021-01-29,[亚通股份]崇明亚通出租汽车公司为上汽集团出租车售后服务部赠送锦旗
2021-01-27,"[上汽集团]皮卡品质新标杆!9.98万元起售,2021款上汽大通MAXUS T70焕新上市"
2021-01-27,"[上汽集团]以“定制”定义未来,中国汽车定制专家上汽大通MAXUS积极迎战崭新十年"
2021-01-22,上汽集团(600104.SH)：核心员工持股计划所持4844.9561万股已全部出售完毕
2021-01-21,"[上汽集团]SUV品质新标杆!荣威RX5 MAX Supreme 300TGI车型上市,售价12.68万元起"
2021-01-21,"[上汽集团]“定制”无障碍出行生活,上汽大通MAXUS EUNIQ 5福祉车、G20 PLUS福祉车冬日暖心亮相"
2021-01-21,[上汽集团]12月皮卡行业增速冠军又获批量订单!46台上汽大通MAXUS T70助力陕北地区运输物流行业高速发展
2021-01-20,[上汽集团]好看的2020直通NASCAR光速挑战赛 是谁最后封神
2021-01-20,[上汽集团]“绿动未来”第五届《中国大学生环保创新培育计划》圆满收官
2021-01-19,上汽集团(600104.SH)：回购期满 已耗资22.47亿元回购约1.08亿股
2021-01-19,"[上汽集团]2021款雪佛兰畅巡上市 补贴后建议零售价159,900元起"
2021-01-18,"[上汽集团]全系售价21.9万元起,上汽大通MAXUS EV90纯电轻客新增5款车型重磅来袭"
2021-01-12,2020年销量跌10.22% 上汽集团预计归母净利跌约22%
2021-01-11,上汽集团2020年预计净利200亿同比减少21.89% 整车销量减少
2021-01-11,上汽集团：预计2020年实现净利润200亿，同比下降21.89%
2021-01-11,上汽集团(600104.SH)预计2020年度净利润200亿元 同比减少21.89%
2021-01-11,[上汽集团]上汽通用汽车车工坊进入千店时代
2021-01-11,[上汽集团]上汽通用汽车“三箭齐发”点亮海口国际新能源车展
2021-01-11,"[上汽集团]亮相海口新能源车展,上汽大通MAXUS EUNIQ系列车型尽展汽车定制化魅力"
2021-01-08,"[上汽集团]“第一个吃螃蟹”的上汽大通MAXUS,正以全领域定制推动汽车私人定制“全民化”"
2021-01-07,上汽集团(600104.SH)12月销量74.66万辆 同比增长7.01%
2021-01-05,天永智能：公司成功进入上汽集团、北汽集团、广汽集团、长城汽车等汽车厂商供应商体系
2021-01-05,为实现协同发展，上柴股份拟收购控股股东上汽集团旗下上依投50%股权等三项资产
2021-01-05,A股异动丨上柴股份(600841.SH)涨停 拟置入上汽集团重卡和柴油机资产
2021-01-04,上汽集团(600104.SH)截至12月底已耗资约20.39亿元回购0.86%的股份
2021-01-04,上柴股份：拟向上汽集团等发行股份购买上依投、上依红部分股权 股票复牌
2021-01-04,"[上汽集团]荣威i5智联贺岁版重磅上市,官方指导价仅9.29万元!"
2020-12-30,[上汽集团]第五座“绿动未来”环保公益图书馆落地江西西村
2020-12-30,[上汽集团]上汽认证二手车中心入驻天津、深圳、东莞!原厂质保、全国联保更安心
2020-12-28,上汽集团(600104.SH)封涨停板
2020-12-28,汽车股集体拉升：上汽集团触及涨停，长城汽车再创历史新高
2020-12-22,"[上汽集团]沪、苏、津、豫、川联动,首届上汽认证二手车用户大会规模空前"
2020-12-21,[上汽集团]业内首个“全场景智慧出行综合体”强势落地
2020-12-21,[上汽集团]斩获“年度汽车科技指数-消费级智能座舱”!荣威iMAX8与宝马站上同一颁奖台
2020-12-19,上汽集团旗下享道出行获得阿里、宁德时代3亿元战略投资 推出共享租车服务
2020-12-19,5年现金分红超800亿元 上汽集团推“新四化”积极拥抱车市变革
2020-12-18,"[上汽集团]助力交通部实现客车“村村通”,上汽大通MAXUS V80展现定制硬实力"
2020-12-17,"[上汽集团]嫦娥五号保障车必须是中国品牌,是国人的骄傲!TA堪称中国最安全的MPV!"
2020-12-16,"[上汽集团]“以家人之名 与你同行” 首届上汽认证二手车用户大会即将开启,五城家宴邀您入席"
2020-12-14,"[上汽集团]荣威“国潮新赢家”大家庭又添新成员,荣威iMAX8交付福耀集团创始人曹德旺"
2020-12-14,"[上汽集团]月销6771台,同比大涨88.24%,上汽大通MAXUS连续7个月领跑宽体轻客市场"
2020-12-11,[华谊集团]华谊集团与上汽集团签署战略合作协议
2020-12-08,[上汽集团]雪佛兰携实力说唱歌手VaVa推出新一代创酷真橙限量版 售价12.59万元
2020-12-07,[上汽集团]打破舞台剧界限 探索“心”与“芯”的碰撞 凯迪拉克超体验影音剧《芯上人》顺利公演
2020-12-04,[上汽集团]“2020 DC 24 HOURS 雪佛兰SUV驾训体验营”再度启程
2020-12-04,[上汽集团]创大通新速度!上汽大通MAXUS第50万辆整车于无锡下线
2020-12-04,[上汽集团]愿做冬天里的一团火花|雪佛兰·红粉笔山西站温暖收官
2020-12-03,"[上汽集团]上汽大通MAXUS皮卡家族发布会即将超燃来袭,看“中国皮卡定制专家”如何“玩转”皮卡!"
2020-12-02,[上汽集团]凯迪拉克[我有棵胡杨在G7:勇气森林] 荣膺“我是创益人”公益广告大赛-创益品牌组金奖
2020-12-01,"[上汽集团]原厂质保、全国联保更安心,上汽认证二手车版图更趋完善!"
2020-11-27,联手阿里杀进新能源汽车 上汽集团张江高科强势涨停
2020-11-27,联合阿里打造智能纯电汽车项目 上汽集团高开逾4%张江高科涨停
2020-11-27,A股异动丨上汽集团高开逾4% 张江高科涨停 与恒旭资本共设基金，专项投资于高端智能纯电汽车项目
2020-11-27,开盘：三大股指集体高开沪指涨0.12% 上汽集团高开4%张江高科涨停
2020-11-26,上汽集团拟参设合伙企业 投资高端智能纯电汽车项目
2020-11-26,上汽集团投资建设高端智能纯电汽车项目 认缴出资总额为72亿元
2020-11-26,上汽集团：拟近54亿元参与设立合伙企业 基金拟计划与阿里巴巴专项投资于智己汽车
2020-11-26,[上汽集团]上汽集团与浦东新区等合作百亿元级规模用户型汽车科创公司首发落地浦东
2020-11-26,[上汽集团]智己汽车要做“智能时代出行变革的实现者”
2020-11-26,"[上汽集团]荣威RX5 PLUS Ali贺岁精选版正式上市,贺岁惊喜价仅11.48万元"
2020-11-25,"[上汽集团]守望生命,大爱通行,上汽集团携手上海烟草集团向重庆捐赠爱心救护车"
2020-11-25,"[上汽集团]2020 J.D. Power可靠性榜单出炉,荣威连续5年摘得中国品牌冠军"
2020-11-24,[上汽集团]见证中国航天新壮举!荣威iMAX8成功完成嫦娥五号发射保障任务
2020-11-23,上汽集团：上汽集团旗下荣威、MG、大通均有自主研发的电动车产品
2020-11-23,[上汽集团]上汽通用汽车盛装亮相2020广州车展
2020-11-23,"[上汽集团]绘制新能源蓝图,构建绿色智能新生态,上汽大通MAXUS新能源全系车型亮相广州车展"
2020-11-17,[上汽集团]上汽大通MAXUS将于广州车展展现新能源汽车领域定制实力
2020-11-16,[上汽集团]雪佛兰2020直通NASCAR光速挑战赛征战广州
2020-11-16,[上汽集团]金领结之夜2020雪佛兰车主亲友荟盛大启幕
2020-11-16,"[上汽集团]“别克关怀”18周年庆,开启品牌服务新征程"
2020-11-16,"[上汽集团]拉动大飞机的硬核SUV又升级了,广州车展重磅车型抢先看!"
2020-11-11,上汽集团：公司已推出了多款技术领先的乘用车和商用车新能源汽车产品
2020-11-11,[上汽集团]智能网联汽车大会今日揭幕 上汽智能军团“赶来助阵”
2020-11-11,"[上汽集团]“双十一寻宝攻略”第二期来袭,原厂中高端机油保养低至6.8折!"
2020-11-10,[上汽集团]2021款别克GL6将于11月19日上市
2020-11-10,"[上汽集团]“荣威宠你,月月有礼” 上汽荣威APP推出双十一活动,全场精品8折购,更有机会赢免单!"
2020-11-09,[上汽集团]这一代年轻人的“潮跑新品类”全新MG5上市 限量潮享价6.49万-9.69万元
2020-11-09,[上汽集团]雪佛兰探界者荣获“中国汽车消费者满意度研究与测评规程推荐车型”
2020-11-06,长华股份：公司为上汽集团、上汽通用、东风本田等客户的部分新能源车型供应零部件
2020-11-06,[上汽集团]汽车龙头10月销售整车59.7万辆 增长9.6%
2020-11-05,"[上汽集团]上市首月即热销近5000辆,这款中国品牌高端MPV要让每位乘客都成为VIP"
2020-11-03,"[上汽集团]别克10月销售99,057辆,单月销量再创佳绩"
2020-11-02,[上汽集团]百公里油耗6L!上汽大通MAXUS宽体轻客第三届节油挑战赛“节油王”诞生
2020-11-02,"[上汽集团]上海地区限行新政出炉,上汽大通MAXUS EUNIQ系列重磅优惠再加码"
2020-11-02,"[上汽集团]“百人援滇,上汽人在行动”,云南乡镇卫生院医疗巡诊用车捐赠仪式成功举行"
2020-11-01,上汽集团2020年前三季度净利166.48亿下滑19.93% 资产减值损失同比增长
2020-10-31,上汽集团：2020年前三季度主要财务指标
2020-10-12,上汽集团：9月份销量同比增长9.5%
2020-09-23,上汽集团：公司已推出了多款技术领先的乘用车和商用车新能源汽车产品
2020-09-14,上汽集团发布“氢战略” 全球首款燃电MVP同日问世
2020-09-04,上汽集团8月份销量同比增长3.55%
2020-09-04,上汽集团8月整车销量突破50万辆大关
2020-08-29,[蓝黛传动]上海汽车变速器有限公司到蓝黛传动参观考察
2020-08-28,上汽集团近2500台汽车发往澳新市场
2020-08-27,上汽集团2020年上半年净利83.94亿下滑39% 国内车市销量下滑明显
2020-08-27,上汽集团半年报：上半年净利润84亿元 同比减少39%
2020-08-27,上汽集团：上半年净利同比下降39%
2020-08-21,上汽集团：上汽奥迪项目正常推进中 上汽大众预计年底推出MEB首款产品
2020-08-06,上汽集团7月份销量同比略升
2020-08-05,瑞玛工业：公司成为博格华纳“SAIC（上汽集团）280双离合器变速箱项目”核心零部件的定点供应商
2020-07-28,上汽集团持续发力海外市场 上半年海外整体销售13.2万辆
2020-07-28,海外市场市占率逆势提升 上汽集团出海成效初现
2020-07-21,上汽集团将花不超30.34亿元回购公司股份 用于股权激励
2020-07-20,上汽集团：终止收购神州租车 因双方就未来运营未达成一致
2020-07-20,上汽集团：子公司决定终止收购神州租车股份
2020-07-20,上汽集团：子公司上汽香港决定终止收购神州优车及Amber Gem不超过6亿股
2020-07-16,上汽集团携手中国宝武 打造国家级氢能产业示范区
2020-07-16,[上汽集团]上汽集团和中国宝武进行战略合作 上汽大通MAXUS成为燃料电池车商业化运营“急先锋”!
2020-07-15,上汽集团和中国宝武将共同推进10座-20座加氢站5年内落地
2020-07-15,上汽集团联手中国宝武 打造国家级氢能产业示范区
2020-07-15,[上汽集团]共促燃料电池车商业化提速 共推10-20座加氢站五年落地 上汽集团和中国宝武签署战略合作框架协议
2020-07-15,[上汽集团]原来你是这样的“好动分子” 别克昂科威S将搭载高效动力与全能底盘
2020-07-14,上汽集团异动 直线拉升触及涨停
