Time,close,high,low,volume,open,return
2021-06-01,50.51,50.81,50.07,11420546.0,50.63,-0.020392001583844806
2021-06-02,49.48,50.64,49.29,17861942.0,50.54,-0.00606305578011312
2021-06-03,49.18,50.13,49.1,11149059.0,49.26,0.011183407889385872
2021-06-04,49.73,50.17,48.92,11684867.0,49.0,-0.005831490046249732
2021-06-07,49.44,49.78,49.0,7040455.0,49.78,-0.0026294498381876103
2021-06-08,49.31,50.12,48.99,10922728.0,49.45,0.007300750354897575
2021-06-09,49.67,50.32,49.18,10390305.0,49.25,-0.015502315280853697
2021-06-10,48.9,49.92,48.79,12435527.0,49.46,-0.02106339468302661
2021-06-11,47.87,48.98,47.5,16140230.0,48.95,-0.011489450595362381
2021-06-15,47.32,47.71,46.68,10817977.0,47.6,-0.0010566356720202274
2021-06-16,47.27,47.76,47.03,7813034.0,47.41,-0.011846837317537598
2021-06-17,46.71,47.58,46.6,9035340.0,47.3,0.00021408691928918882
2021-06-18,46.72,47.04,46.33,9548049.0,46.56,-0.01626712328767119
2021-06-21,45.96,46.49,45.71,12715568.0,46.45,0.01827676240208869
2021-06-22,46.8,47.05,46.06,13668765.0,46.2,0.0008547008547009884
2021-06-23,46.84,47.48,46.58,12012971.0,46.63,-0.010888129803586787
2021-06-24,46.33,47.28,46.17,15668089.0,46.94,0.01726742931146135
2021-06-25,47.13,47.39,46.11,17623487.0,46.38,-0.012306386590282312
2021-06-28,46.55,47.12,46.21,11103061.0,47.11,-0.021911922663802277
2021-06-29,45.53,46.6,45.3,15426683.0,46.4,0.00834614539863816
2021-06-30,45.91,45.96,45.28,8704174.0,45.51,0.0037028969723372188
2021-07-01,46.08,46.54,45.57,11544570.0,46.09,-0.03320312500000003
2021-07-02,44.55,45.71,44.51,15270889.0,45.65,0.0282828282828284
2021-07-05,45.81,46.1,44.2,16234458.0,44.55,0.01899148657498357
2021-07-06,46.68,46.86,45.55,16178643.0,45.7,-0.014353041988003464
2021-07-07,46.01,47.28,45.77,13169336.0,46.43,-0.02890675940013037
2021-07-08,44.68,46.18,44.3,23105435.0,46.17,-0.00044762757385861967
2021-07-09,44.66,44.89,44.34,9927852.0,44.48,-0.006941334527541317
2021-07-12,44.35,44.95,44.07,14487450.0,44.9,0.006764374295377613
2021-07-13,44.65,44.76,44.08,10615476.0,44.31,-0.023516237402015614
2021-07-14,43.6,44.58,43.43,14728129.0,44.58,0.04013761467889908
2021-07-15,45.35,45.53,43.7,23901173.0,43.99,-0.01918412348401333
2021-07-16,44.48,45.43,44.09,14707829.0,45.0,0.00584532374100731
2021-07-19,44.74,44.75,43.61,10690728.0,44.28,-0.005811354492624164
2021-07-20,44.48,44.66,44.12,7420169.0,44.28,-0.007419064748201401
2021-07-21,44.15,44.87,43.73,12829411.0,44.38,0.012457531143827957
2021-07-22,44.7,45.18,43.84,15885396.0,44.06,-0.011409395973154476
2021-07-23,44.19,44.69,43.89,12361019.0,44.44,-0.05136908802896574
2021-07-26,41.92,43.82,41.8,21627879.0,43.8,-0.024332061068702365
2021-07-27,40.9,42.07,40.85,11936002.0,41.88,-0.0029339853300732873
2021-07-28,40.78,41.43,40.7,11933864.0,41.0,-0.00809220205983321
2021-07-29,40.45,41.17,39.91,15550618.0,41.07,0.000494437577255773
2021-07-30,40.47,41.25,39.94,11425511.0,40.41,0.00963676797627874
2021-08-02,40.86,41.55,39.48,19130490.0,40.11,-0.008565834557024019
2021-08-03,40.51,41.15,40.29,15900890.0,40.51,-0.005183905208590493
2021-08-04,40.3,40.69,40.02,10630279.0,40.51,0.004714640198511286
