Time,close,high,low,volume,open,return
2021-06-01,3.81,3.83,3.78,141678662.0,3.83,-0.0026246719160105594
2021-06-02,3.8,3.83,3.78,141205670.0,3.81,-0.002631578947368365
2021-06-03,3.79,3.82,3.78,104897863.0,3.8,0.0026385224274405768
2021-06-04,3.8,3.83,3.78,133392090.0,3.79,0.013157894736842176
2021-06-07,3.85,3.87,3.81,165026537.0,3.83,0.005194805194805199
2021-06-08,3.87,3.89,3.83,143830310.0,3.84,-0.010335917312661508
2021-06-09,3.83,3.86,3.82,112966567.0,3.86,-0.0026109660574413136
2021-06-10,3.82,3.85,3.81,90522162.0,3.82,0.0026178010471204793
2021-06-11,3.83,3.84,3.8,107303877.0,3.82,-0.010443864229765022
2021-06-15,3.79,3.83,3.79,84138732.0,3.82,0.0026385224274405768
2021-06-16,3.8,3.82,3.78,78502581.0,3.79,0.0
2021-06-17,3.8,3.81,3.78,68136105.0,3.8,0.002631578947368482
2021-06-18,3.81,3.81,3.78,78705121.0,3.79,-0.005249343832021002
2021-06-21,3.79,3.81,3.78,71639553.0,3.8,0.0
2021-06-22,3.79,3.81,3.78,82996490.0,3.79,-0.0026385224274406943
2021-06-23,3.78,3.8,3.77,78872923.0,3.79,0.002645502645502707
2021-06-24,3.79,3.8,3.77,68422356.0,3.79,0.0052770448548812715
2021-06-25,3.81,3.83,3.78,98200859.0,3.78,-0.005249343832021002
2021-06-28,3.79,3.83,3.78,74764736.0,3.82,-0.0052770448548812715
2021-06-29,3.77,3.8,3.77,74224941.0,3.79,0.0026525198938991477
2021-06-30,3.78,3.79,3.77,47624200.0,3.78,0.0
2021-07-01,3.78,3.8,3.77,72514663.0,3.78,-0.005291005291005296
2021-07-02,3.76,3.79,3.75,77245949.0,3.78,-0.013297872340425485
2021-07-05,3.71,3.76,3.71,129878691.0,3.75,0.0
2021-07-06,3.71,3.73,3.69,92435988.0,3.71,-0.002695417789757355
2021-07-07,3.7,3.72,3.69,68990188.0,3.71,-0.01081081081081082
2021-07-08,3.66,3.71,3.64,133217438.0,3.71,-0.010928961748633888
2021-07-09,3.62,3.66,3.61,122298860.0,3.65,0.0
2021-07-12,3.62,3.65,3.61,94735575.0,3.64,0.008287292817679504
2021-07-13,3.65,3.66,3.61,91043487.0,3.63,-0.010958904109589052
2021-07-14,3.61,3.65,3.61,93193045.0,3.65,0.01108033240997231
2021-07-15,3.65,3.66,3.61,102336533.0,3.62,0.0
2021-07-16,3.65,3.66,3.63,74638753.0,3.64,0.0
2021-07-19,3.65,3.66,3.61,90316721.0,3.65,0.0
2021-07-20,3.65,3.66,3.63,90138166.0,3.64,-0.06027397260273966
2021-07-21,3.43,3.48,3.43,110246742.0,3.46,0.005830903790087469
2021-07-22,3.45,3.48,3.43,75476295.0,3.43,-0.002898550724637748
2021-07-23,3.44,3.46,3.43,73908760.0,3.45,-0.01453488372093018
2021-07-26,3.39,3.44,3.38,90341676.0,3.43,-0.0176991150442478
2021-07-27,3.33,3.4,3.32,119543682.0,3.4,0.003003003003002939
2021-07-28,3.34,3.36,3.33,89649796.0,3.33,-0.008982035928143655
2021-07-29,3.31,3.35,3.3,75672398.0,3.34,-0.0030211480362538463
2021-07-30,3.3,3.31,3.27,60592825.0,3.31,0.009090909090909167
2021-08-02,3.33,3.35,3.26,130360257.0,3.29,-0.0030030030030030724
2021-08-03,3.32,3.33,3.29,78949894.0,3.32,-0.009036144578313195
2021-08-04,3.29,3.33,3.28,76421170.0,3.32,0.0
2021-08-05,3.29,3.32,3.28,56695747.0,3.3,0.0030395136778114855
2021-08-06,3.3,3.31,3.27,50695326.0,3.29,0.012121212121212133
2021-08-09,3.34,3.36,3.29,88684361.0,3.29,0.008982035928143787
2021-08-10,3.37,3.39,3.32,89484884.0,3.34,0.008902077151335253
2021-08-11,3.4,3.42,3.36,93980400.0,3.36,-0.008823529411764649
2021-08-12,3.37,3.4,3.37,53330301.0,3.4,-0.005934718100890213
2021-08-13,3.35,3.38,3.35,54814140.0,3.38,0.011940298507462697
2021-08-16,3.39,3.4,3.36,65767230.00000001,3.36,-0.005899705014749268
2021-08-17,3.37,3.41,3.36,66991281.00000001,3.38,0.014836795252225466
2021-08-18,3.42,3.44,3.36,112596997.0,3.37,-0.008771929824561346
2021-08-19,3.39,3.41,3.38,60182629.0,3.41,-0.005899705014749268
2021-08-20,3.37,3.41,3.36,70472202.0,3.38,-0.0029673590504451725
2021-08-23,3.36,3.39,3.36,46976133.0,3.37,0.0
2021-08-24,3.36,3.38,3.34,83010362.0,3.36,-0.00892857142857137
2021-08-25,3.33,3.37,3.32,77824223.0,3.35,-0.006006006006006011
2021-08-26,3.31,3.34,3.3,85723696.0,3.34,0.0
2021-08-27,3.31,3.33,3.3,51455449.0,3.31,-0.009063444108761405
2021-08-30,3.28,3.32,3.28,82127381.0,3.32,0.021341463414634235
2021-08-31,3.35,3.35,3.29,137087543.0,3.3,0.023880597014925394
2021-09-01,3.43,3.44,3.34,205466000.0,3.35,0.011661807580174937
2021-09-02,3.47,3.48,3.41,155710044.0,3.42,0.005763688760806921
2021-09-03,3.49,3.52,3.43,131798605.0,3.46,-0.0028653295128940486
2021-09-06,3.48,3.51,3.47,97051469.0,3.48,0.011494252873563229
2021-09-07,3.52,3.53,3.46,141995574.0,3.48,0.008522727272727217
2021-09-08,3.55,3.57,3.5,127241691.0,3.51,-0.0028169014084506445
2021-09-09,3.54,3.56,3.51,87643587.0,3.54,0.005649717514124299
2021-09-10,3.56,3.6,3.53,132952008.0,3.53,0.0
2021-09-13,3.56,3.58,3.52,111286800.0,3.54,-0.02247191011235957
2021-09-14,3.48,3.57,3.46,145677124.0,3.55,-0.008620689655172358
2021-09-15,3.45,3.48,3.44,101195694.0,3.46,-0.008695652173913115
2021-09-16,3.42,3.47,3.42,139562002.0,3.45,-0.005847953216374275
2021-09-17,3.4,3.43,3.39,96683612.0,3.42,-0.014705882352941124
2021-09-22,3.35,3.36,3.3,113245452.0,3.34,0.0059701492537313485
2021-09-23,3.37,3.41,3.36,96985353.0,3.37,-0.0029673590504451725
2021-09-24,3.36,3.4,3.34,89823000.0,3.37,-0.00892857142857137
2021-09-27,3.33,3.36,3.32,108463508.0,3.35,0.018018018018018035
2021-09-28,3.39,3.41,3.33,107169922.0,3.34,0.0029498525073745683
2021-09-29,3.4,3.41,3.37,89758081.0,3.38,-0.002941176470588173
2021-09-30,3.39,3.41,3.36,66918818.00000001,3.4,0.0176991150442478
2021-10-08,3.45,3.45,3.4,100697863.0,3.41,0.008695652173912986
2021-10-11,3.48,3.51,3.45,109425264.0,3.45,-0.0028735632183907434
2021-10-12,3.47,3.5,3.45,96751495.0,3.47,-0.011527377521613843
2021-10-13,3.43,3.47,3.42,69303902.0,3.46,-0.008746355685131267
2021-10-14,3.4,3.44,3.39,69494121.0,3.43,0.011764705882352951
2021-10-15,3.44,3.45,3.4,86236528.0,3.41,0.0
2021-10-18,3.44,3.46,3.41,80540414.0,3.44,0.0029069767441861137
2021-10-19,3.45,3.47,3.43,89113828.0,3.43,0.0
2021-10-20,3.45,3.47,3.43,55665243.99999999,3.45,0.011594202898550735
2021-10-21,3.49,3.49,3.45,97988905.0,3.46,-0.0028653295128940486
2021-10-22,3.48,3.51,3.46,83778475.0,3.49,0.0
2021-10-25,3.48,3.49,3.46,64483500.0,3.47,-0.005747126436781614
2021-10-26,3.46,3.5,3.46,64704254.0,3.49,0.0
2021-10-27,3.46,3.47,3.42,68687846.0,3.46,-0.0057803468208092535
2021-10-28,3.44,3.46,3.42,62336102.0,3.44,0.0
2021-10-29,3.44,3.46,3.43,74661834.0,3.45,0.008720930232558212
2021-11-01,3.47,3.48,3.42,101947702.0,3.43,-0.02593659942363121
2021-11-02,3.38,3.48,3.35,142109466.0,3.47,-0.0059171597633136145
2021-11-03,3.36,3.38,3.35,67896681.0,3.38,-0.005952380952380958
2021-11-04,3.34,3.37,3.33,66699006.00000001,3.37,-0.0029940119760478406
2021-11-05,3.33,3.35,3.32,44984536.0,3.34,0.0
2021-11-08,3.33,3.35,3.32,76454487.0,3.34,-0.0030030030030030724
2021-11-09,3.32,3.34,3.31,81859018.0,3.34,-0.0030120481927710203
2021-11-10,3.31,3.32,3.29,95037018.0,3.31,0.015105740181268828
2021-11-11,3.36,3.37,3.3,108010156.0,3.31,-0.005952380952380958
2021-11-12,3.34,3.36,3.33,51801366.0,3.35,0.008982035928143787
2021-11-15,3.37,3.37,3.34,74858164.0,3.35,-0.0029673590504451725
2021-11-16,3.36,3.38,3.35,61822419.99999999,3.37,-0.005952380952380958
2021-11-17,3.34,3.37,3.34,50590475.0,3.36,-0.0029940119760478406
2021-11-18,3.33,3.35,3.32,41959682.0,3.34,0.00900900900900895
2021-11-19,3.36,3.37,3.32,55294918.99999999,3.33,-0.005952380952380958
2021-11-22,3.34,3.36,3.34,47072529.0,3.36,0.0029940119760479733
2021-11-23,3.35,3.36,3.33,53759327.0,3.34,0.002985074626865608
2021-11-24,3.36,3.36,3.34,39163212.0,3.35,0.0
2021-11-25,3.36,3.36,3.35,44356927.0,3.36,-0.0029761904761904127
2021-11-26,3.35,3.36,3.34,75820992.0,3.35,-0.0029850746268657406
2021-11-29,3.34,3.36,3.32,99789781.0,3.33,0.0029940119760479733
2021-11-30,3.35,3.36,3.33,80630124.0,3.34,0.014925373134328304
