Time,close,high,low,volume,open,return
2021-06-01,40.26,41.21,39.7,73289357.0,41.02,-0.01987083954297062
2021-06-02,39.46,40.45,39.11,68177945.0,39.99,0.0010136847440445804
2021-06-03,39.5,39.94,39.4,48009459.0,39.55,0.0020253164556961593
2021-06-04,39.58,39.95,39.05,48626497.0,39.32,-0.04775138959070239
2021-06-07,37.69,38.56,37.2,183297704.0,38.13,0.004510480233483728
2021-06-08,37.86,37.98,37.36,81838382.0,37.71,0.05176967776016907
2021-06-09,39.82,40.1,37.88,161516746.0,37.93,-0.010296333500753483
2021-06-10,39.41,40.39,39.34,79586761.0,39.99,-0.0291804110631819
2021-06-11,38.26,38.69,37.63,71566953.0,38.69,-0.013591217982226766
2021-06-15,37.74,38.09,37.09,66928476.0,37.88,0.020137784843667142
2021-06-16,38.5,39.48,37.59,79924666.0,37.83,-0.0077922077922077185
2021-06-17,38.2,38.46,37.94,47053910.0,38.1,-0.012565445026178113
2021-06-18,37.72,38.12,37.5,54165010.0,38.08,-0.011664899257688169
2021-06-21,37.28,37.86,37.0,62971577.0,37.41,-0.006974248927038573
2021-06-22,37.02,37.39,36.78,66419230.00000001,37.27,0.004862236628849262
2021-06-23,37.2,37.28,36.51,51708066.0,37.02,-0.0016129032258065125
2021-06-24,37.14,37.4,36.9,41557353.0,37.28,0.007269789983844804
2021-06-25,37.41,37.59,37.01,55936292.00000001,37.19,-0.0029403902699812736
2021-06-28,37.3,37.68,37.1,41345384.0,37.55,0.0
2021-06-29,37.3,37.39,36.45,69003166.0,37.33,-0.012600536193029461
2021-06-30,36.83,37.19,36.71,42503634.0,37.0,0.004615802335052993
2021-07-01,37.0,37.26,36.5,56079588.0,36.83,-0.014864864864864788
2021-07-02,36.45,36.83,36.3,59768557.99999999,36.7,-0.034019204389574814
2021-07-05,35.21,36.23,34.88,93362128.0,36.23,-0.004828173814257362
2021-07-06,35.04,35.05,34.32,68452689.0,34.98,0.0014269406392695282
2021-07-07,35.09,35.53,34.71,57217862.0,34.71,-0.025078369905956185
2021-07-08,34.21,35.08,34.09,72535789.0,35.07,0.0029231218941830287
2021-07-09,34.31,34.53,33.89,48467205.0,34.13,0.009909647333138918
2021-07-12,34.65,34.95,34.02,58530393.99999999,34.5,0.01529581529581533
2021-07-13,35.18,35.37,34.66,55592285.0,34.7,0.0045480386583287005
2021-07-14,35.34,35.48,34.7,49699921.0,35.17,0.013016411997736097
2021-07-15,35.8,36.18,35.07,63377359.0,35.3,-0.019553072625698206
2021-07-16,35.1,35.74,35.0,48782183.0,35.5,-0.0011396011396011152
2021-07-19,35.06,35.12,34.28,51724969.0,34.82,-0.004563605248146141
2021-07-20,34.9,35.22,34.48,33504095.0,34.9,0.0014326647564471137
2021-07-21,34.95,35.95,34.94,52274623.0,35.2,0.00314735336194562
2021-07-22,35.06,35.3,34.41,36033880.0,34.78,-0.027381631488876235
2021-07-23,34.1,34.98,33.8,71114155.0,34.9,-0.029912023460410646
2021-07-26,33.08,33.98,32.71,77259813.0,33.98,-0.0489721886336154
2021-07-27,31.46,33.3,31.31,92081182.0,33.03,0.0247933884297521
2021-07-28,32.24,32.48,30.9,79244111.0,30.9,0.015818858560793982
2021-07-29,32.75,33.08,32.31,57456114.0,32.58,0.019541984732824445
2021-07-30,33.39,33.58,32.33,73619769.0,32.6,0.027253668763102624
2021-08-02,34.3,34.74,32.9,85260727.0,33.0,0.034693877551020554
2021-08-03,35.49,35.59,34.01,79160225.0,34.3,-0.020287404902789484
2021-08-04,34.77,36.2,34.64,72512495.0,35.49,0.006902502157031776
2021-08-05,35.01,35.43,34.34,56477888.0,34.7,0.011139674378748946
2021-08-06,35.4,35.55,33.9,67117465.0,34.34,0.0177966101694916
2021-08-09,36.03,36.4,35.1,69872445.0,35.2,0.0063835692478489275
2021-08-10,36.26,36.49,35.41,62677775.0,36.18,-0.020408163265305982
2021-08-11,35.52,36.2,35.45,48185319.0,36.2,-0.011542792792792895
2021-08-12,35.11,35.7,34.9,38012901.0,35.41,0.00512674451723155
2021-08-13,35.29,35.42,34.58,32232165.0,34.91,-0.0028336639274582436
2021-08-16,35.19,35.66,34.9,35717548.0,35.0,-0.03381642512077288
2021-08-17,34.0,35.35,33.8,63947934.0,35.01,-0.0052941176470588155
2021-08-18,33.82,34.47,33.74,47923420.0,34.03,-0.013010053222944936
2021-08-19,33.38,34.27,33.32,48570869.0,33.78,-0.004493708807669433
2021-08-20,33.23,33.56,32.71,54296513.0,33.11,0.0
2021-08-23,33.23,33.74,33.0,41018257.0,33.29,0.002106530243755651
2021-08-24,33.3,33.47,32.89,48469317.0,33.25,0.011111111111111249
2021-08-25,33.67,33.93,33.2,45490770.0,33.31,-0.016929016929016938
2021-08-26,33.1,33.95,33.0,40619339.0,33.85,0.012084592145015062
2021-08-27,33.5,34.16,33.09,51985084.0,33.11,-0.011044776119402909
2021-08-30,33.13,33.5,32.6,50696568.0,33.5,0.026562028373075624
2021-08-31,34.01,35.59,34.0,148908514.0,34.2,0.06380476330491038
2021-09-01,36.18,36.3,33.91,150148731.0,34.21,-0.004422332780541642
2021-09-02,36.02,36.59,35.63,87871866.0,36.38,0.0038867295946694463
2021-09-03,36.16,37.07,35.33,96868451.0,35.76,0.011615044247787658
2021-09-06,36.58,37.68,36.36,93604391.0,36.52,-0.003553854565336125
2021-09-07,36.45,36.75,36.08,52093042.0,36.53,-0.007407407407407493
2021-09-08,36.18,36.57,35.84,49861883.0,36.37,-0.004698728579325641
2021-09-09,36.01,36.5,35.73,45549513.0,36.26,0.01083032490974731
2021-09-10,36.4,36.65,36.01,61956692.00000001,36.11,-0.016483516483516522
2021-09-13,35.8,36.2,35.38,53838689.0,36.0,-0.009217877094972021
2021-09-14,35.47,36.49,35.3,41998561.0,35.79,-0.018607273752466777
2021-09-15,34.81,35.48,34.67,47107427.0,35.23,0.006894570525710855
2021-09-16,35.05,35.39,34.35,57087532.99999999,34.99,0.012553495007132806
2021-09-17,35.49,35.8,34.5,60539246.0,34.9,-0.003944773175542422
2021-09-22,35.35,35.69,34.8,38569744.0,34.92,0.010183875530410167
2021-09-23,35.71,36.27,35.36,47940065.0,35.36,0.038364603752450224
2021-09-24,37.08,37.33,35.85,108267830.0,35.85,0.0053937432578210045
2021-09-27,37.28,38.5,37.1,117853209.0,37.11,0.007242489270386159
2021-09-28,37.55,37.91,36.4,72552729.0,36.92,0.003994673768309073
2021-09-29,37.7,38.06,36.94,70590645.0,37.61,0.0
2021-09-30,37.7,38.51,37.55,62151181.99999999,37.94,0.050928381962864575
2021-10-08,39.62,39.96,37.5,135373944.0,37.7,-0.0037859666834931496
