Time,Content
2021-11-29,全国股转公司12月3日举办定向发行可转债制度线上培训：中信建投参与授课
2021-11-25,中信建投证券(06066.HK)发行20亿元次级债券
2021-11-23,中信建投证券(06066.HK)：证监会同意拟发行不超100亿元永续次级公司债注册申请
2021-11-23,中信建投(601066.SH)：公开发行永续次级公司债券获证监会注册批复
2021-11-23,中信建投黄文涛：我国新能源汽车有望提前达成20％渗透率目标
2021-11-23,中信建投黄文涛：美国经济明年可能触顶回落 国内外需或回落
2021-11-23,【首席说】中信建投黄文涛：宽信用将是2022年重要特征 新能源汽车望提前达成20％渗透目标
2021-11-22,同享科技接受中信建投等5家机构现场调研和网络调研 共计12问
2021-11-22,中亦科技过会：今年IPO过关第368家 中信建投过34单
2021-11-17,中信建投证券(06066.HK)遭Wellington Management Group减持46.5万股
2021-11-16,中信建投证券(06066.HK)完成兑付34亿元短期融资券(债券通)
2021-11-16,中信建投(601066.SH)：完成兑付本息34.18亿元短期融资券(债券通)
2021-11-12,中信建投发行20亿短期融资券 票面利率2.79%
2021-11-12,中信建投(601066.SH)：完成发行20亿元短期融资券
2021-11-10,华奥汽车终止创业板IPO 保荐机构为中信建投
2021-11-08,中信建投低碳成长混合A(013851)11月24日基金份额发售
2021-10-31,产品净值增长最大达26.91%，三季度中信建投基金35只产品正收益
2021-10-31,中信建投前三季度净利72.58亿元，经营活动现金流入近200亿元
2021-10-28,中信建投(601066.SH)第三季度净利润27.29亿元 同比下降6.31%
2021-10-25,中信建投睿选6个月持有混合(FOF)基金今日首发，拟任基金经理为刘宁
2021-10-20,安恒信息(688023.SH)披露定增结果：中信建投、中国电信集团投资等参投
2021-10-15,复旦微电：控股子公司华岭股份拟精选层小IPO，中信建投辅导
2021-10-13,汇宇制药(688553.SH)：中信建投投资获配190.8万股 网上摇号中签号共30812个
2021-10-12,中信建投：国防军工板块有望重回上涨趋势
2021-10-12,中信建投证券(06066.HK)10月28日举行董事会会议审批三季度业绩
2021-10-11,高铁电气(688285.SH)：中信建投获配470.5万股 网上摇号中签号共6.02万个
2021-10-02,晶科能源过会：今年IPO过关第333家 中信建投过29单
2021-09-29,中信建投(601066.SH)：发行次级公司债获证监会注册批复
2021-09-28,海尔智家港股高开5%！中信建投：维持“买入”评级，预计2021利润增46.57%
2021-09-28,上海复旦(01385.HK)：中信建投指派赵凤滨担任保荐代表人
2021-09-27,科达自控信披违规收警示函 主办券商东吴证券中信建投
2021-09-27,中信建投(601066.SH)：完成发行30亿元短期融资券
2021-09-27,南网科技过会：今年IPO过关第326家 中信建投过28单
2021-09-23,中信建投证券(06066.HK)：杨栋获提名为公司非执行董事候选人
2021-09-23,A股异动 | 苹果概念股集体上涨 中信建投看好苹果产业链公司长期成长趋势
2021-09-22,中信建投发行30亿短期融资券 票面利率2.75%
2021-09-22,中信建投(601066.SH)：完成发30亿元短期融资券
2021-09-22,国防军工持续走强收复60日均线，中信建投：板块兼具高确定性和高性价比
2021-09-18,中信建投基金督察长张乐久离任，总经理金强代任该职务
2021-09-17,中信建投(601066.SH)：完成兑付本息45.25亿元短期融资券(债券通)
2021-09-17,中信建投证券(06066.HK)完成兑付45亿元短期融资券(债券通)
2021-09-13,软通动力过会：今年IPO过关第305家 中信建投过26单
2021-09-10,兰州银行过会：今年IPO过关第297家 中信建投过25单
2021-09-10,永安期货过会：今年IPO过关第296家 中信建投财通保荐
2021-09-10,蓝色星际终止创业板IPO 保荐机构为中信建投证券
2021-09-09,中信建投(601066.SH)：完成发行20亿元短期融资券
2021-09-09,中信建投发行20亿短期融资券 票面利率2.38%
2021-09-08,中信建投(601066.SH)：完成兑付本息45.26亿元短期融资券(债券通)
2021-09-07,中信建投证券首席经济学家张岸元：美股很可能会再现今年A股在一季度出现的问题
2021-09-06,江泰保险终止深交所主板IPO 保荐机构为中信建投证券
2021-09-03,新三板券商报告：申万宏源督导企业607家为最多 中信建投精选层拿9单
2021-09-03,精选层券业江湖新格局！中信建投保荐数量摘冠，中小券商“黑马”频出！券商首席解读来了
