Time,Content
2021-12-01,富时中国A50指数新纳入亿纬锂能、海尔智家、片仔癀
2021-11-16,海尔智家(600690.SH)：完成回购 累计耗资22.02亿元回购7949.24万股
2021-11-12,海尔智家实际控制人之一致行动人海创智增持3189.92万股 耗资8亿 第三季度公司净利30.82亿
2021-11-12,海尔智家(06690.HK)11月12日耗资1.2亿元回购439.98万股A股
2021-11-12,海尔智家(600690.SH)：实控人的一致行动人已完成增持计划 累计增持A股共3189.92万股
2021-11-11,双11全网份额第一！海尔智家股价走高，涨幅最高超5%
2021-11-03,海尔智家多联机获“国家科技进步奖”，累计居榜首
2021-11-03,海尔智家三季报全面收获：海外市场盈利高增，高端市场绝对引领
2021-11-02,海尔智家(600690.SH)：实控人的一致行动人已累计增持2700.79万股A股
2021-11-01,海尔智家(600690.SH)：10月未实施股份回购
2021-11-01,一样秋风两种景象：海尔智家、美的、格力财报透射不同增长逻辑
2021-10-31,海尔智家联合芒果TV启动双11，5大限定套系全球开抢！
2021-10-29,海尔智家(600690.SH)：前三季度净利增57.68%至99.35亿元
2021-10-29,海尔智家三季报：费率再优化1.7pct，营收、利润双高增
2021-10-29,海尔智家三季报：Q3单季营收、利润同比双增
2021-10-25,瞄准欧洲行业前三！海尔智家海外又添新工厂
2021-10-22,海尔智家最高涨幅9% 全天净流入超6亿元
2021-10-22,海尔智家A+H双双跳开高走，A股最高涨幅超8%
2021-10-22,海尔智家AH股齐涨 获摩通增持
2021-10-22,海尔智家(06690.HK)获摩根大通增持394.37万股
2021-10-20,换道场景、降费提效，海尔智家应对原材料涨价的“两手准备”
2021-10-18,海尔智家(06690.HK)10月29日举行董事会会议审批三季度业绩
2021-10-18,海尔智家(06690.HK)获摩根大通增持95.48万股
2021-10-15,第130届广交会：重塑格局的供应链，全球创牌的海尔智家经验
2021-10-15,海尔智家(600690.SH)：新增发行H股的申请材料获中证监受理
2021-10-13,海尔智家(06690.HK)遭摩根大通减持77.01万股
2021-10-11,海尔智家(600690.SH)：实控人的一致行动人已累计增持2700.79万股A股
2021-10-11,海尔智家：实控人的一致行动人拟继续增持不超2%股份
2021-10-01,空调品牌哪家好？迪拜世博会中国馆用上海尔中央空调
2021-09-30,海尔智家(600690.SH)：9月未实施回购
2021-09-30,海尔智家(600690.SH)：9月累计有3800万港元H股可转债转换成H股
2021-09-28,港股异动 | 海尔智家涨6% 券商预计三季度盈利能力将增强
2021-09-28,海尔智家港股高开5%！中信建投：维持“买入”评级，预计2021利润增46.57%
2021-09-27,机构看好海尔智家Q3盈利增强，今日拉升超4%
2021-09-24,海尔智家(06690.HK)获摩根大通增持315.5万股
2021-09-16,海尔智家向激励对象首次授予2021年A股股票期权
2021-09-16,海尔智家(06690.HK)拟增发H股募资用于海外业务和ESG领域相关投资
2021-09-16,海尔智家(06690.HK)向激励对象首次授予2021年A股股票期权
2021-09-15,海尔智家(600690.SH)：向400名激励对象授予4600万份股票期权
2021-09-15,海尔智家：向激励对象首次授予2021年A股股票期权
2021-09-06,北向资金看好海尔智家 5日累计增持股数行业最多
2021-09-01,海尔智家涨超6%，家电ETF(159996)盘中涨超2.00%
2021-09-01,海尔智家AH股均涨超6% 上半年净利润3位数增长远超营收增幅
2021-09-01,全线份额新突破！海尔智家转型场景见成效
2021-09-01,海尔智家两日累计涨幅超11%！较机构目标价仍有较大上行空间
2021-08-31,海尔智家(600690.SH)：8月当月未实施回购
2021-08-31,海尔智家早盘直线拉升涨超9.5% 上半年净利润实现三位数增长
2021-08-31,A股异动 | 海尔智家涨超9% 中期净利增长146.4%
2021-08-30,海尔智家2021年半年度净利68.52亿元 同比净利增加146.41%
2021-08-30,海尔智家半年报：营收增27.2%、利润增146.4%，高端及海外业绩抢眼
2021-08-30,海尔智家(600690.SH)半年度净利润68.52亿元 同比增长146.41%
2021-08-18,新冷年强势出击！海尔空调：“一单一场景”开创新空间
2021-08-17,海尔智家(06690.HK)8月30日举行董事会会议审批中期业绩
2021-08-16,海尔智家(600690.SH)2020年度A股权益分派10派3.66元 股权登记日为8月20日
2021-08-13,一站式定制智慧家！三翼鸟启动智慧家装节
2021-08-13,家装如何避坑？一点三翼鸟，一站式定制智慧家
2021-08-12,沪股通两日增持910万股！海尔智家场景潜力释放被市场看好
2021-08-11,三日累计涨幅超6%！海尔智家2020分红总额占净利润38.27%
2021-08-10,海尔智家(06690.HK)获贝莱德增持43.92万股
2021-08-09,房地产板块发展稳健 产业下游受益良多
2021-08-03,两市三连涨！海尔智家三日内累计涨幅均超10%
2021-08-02,海尔智家(600690.SH)：实控人的一致行动人已累计增持2180.31万股A股
2021-08-02,海尔智家(600690.SH)：已累计耗资约19.94亿元回购7183.9万股A股
2021-08-02,海尔集团旗下海尔智家再入《财富》世界500强，排名上升30名
2021-08-02,获多家机构看好！海尔智家涨幅超4%
2021-08-01,多家机构给予海尔智家“买入”评级！长江证券：更高的要求背后是经营自信
2021-07-30,与海尔智家达成深度战略合作！红星美凯龙亮剑中国高端电器第一渠道
2021-07-30,早盘涨超6%！资本市场看好海尔智家股权激励计划
2021-07-30,A股异动丨推出股权激励计划 海尔智家(600690.SH)放量升超6%
2021-07-30,海尔智家(06690.HK)：第四期持股计划应归属股票871.94万股
2021-07-29,海尔智家推出股权激励计划，未来五年实现高质量可持续增长
2021-07-29,海尔智家(600690.SH)：拟推2021年A股股票期权激励计划
2021-07-26,海尔智家(600690.SH)：H股核心员工持股计划(2021年)完成股票购买375.7万股
2021-07-21,早盘涨超3%！海尔智家公布员工持股计划，市场看好
2021-07-16,高端柜机份额超3成，用户买卡萨帝图什么？场景里有答案
2021-07-15,与“科创中国”同行，海尔智家落成全国首个电子电器领域科普基地
2021-07-13,海尔智家AH齐涨 获海尔集团公司增持127.26万股A股
2021-07-13,开盘上涨！海尔智家首届投资者大会召开，释放多重利好机构看好
2021-07-13,海尔智家(06690.HK)获海尔集团公司增持127.26万股A股
2021-07-02,海尔智家(06690.HK)7月1日耗资1.29亿元回购492.19万股A股
2021-06-30,海尔智家(06690.HK)6月30日耗资8733.25万元回购341.2万股A股
2021-06-30,海尔智家(600690.SH)6月累计耗资11.53亿元回购4249.13万股A股
2021-06-30,海尔智家(600690.SH)：海尔集团一致行动人已耗资1.8亿元增持697.35万股
2021-06-23,海尔智家(06690.HK)遭摩根大通减持1080.5万股
2021-06-22,大股东一致行动人增持 海尔智家开盘股价涨幅近5%
2021-06-22,大股东一致行动人增持 海尔智家开盘股价涨势明显
2021-06-22,前景看好！海尔智家获大股东一致行动人增持 后续将继续增持
2021-06-21,海尔智家股东海创智增持36.25万股 耗资953.65万
2021-06-21,海尔智家(600690.SH)：实控人海尔集团的一致行动人海创智增持36.249万股
2021-06-18,海尔智家(06690.HK)：俞琦超接替王锋担任独立财务顾问主办人
2021-06-03,用旧家电换新生活！海尔智家全国范围启动健康焕新节
2021-06-01,海尔智家(600690.SH)5月共耗资4.89亿元回购1647.05万股A股
2021-05-31,海尔智家618亮相智趣新潮四大王牌，升级你的智慧家！
2021-05-26,海尔智家(600690.SH)：2021年A股员工持股计划资金总额7.08亿元
2021-05-26,海尔智家A+H股双上涨！资本市场看好新一轮核心员工持股计划
2021-05-26,港股异动 | 海尔智家(6690.HK)涨逾4% 建议采纳核心员工持股计划
2021-05-26,物联网板块涨幅明显 海尔智家涨幅居前
2021-05-25,海尔智家(600690.SH)：拟推H股核心员工持股计划(2021年-2025年)
2021-05-25,海尔智家(600690.SH)拟推A股核心员工持股计划(2021年-2025年)
2021-05-18,海尔智家(06690.HK)5月18日耗资2543.87万港元回购83.8万股
2021-05-07,海尔智家(06690.HK)5月7日耗资4594.7万港元回购141.04股H股
2021-05-06,海尔智家(06690.HK)5月6日耗资489.5万元回购15万股A股
2021-05-05,海尔智家(06690.HK)5月5日耗资3290.84万港元回购103.04万股
2021-04-30,海尔智家(600690.SH)截止4月末累计回购411.47万股
2021-04-30,海尔智家早盘高开 一季度归母净利润同比增长超185%
2021-04-30,海尔智家一季度归母净利润同比增长185% 海外创牌、高端品牌、场景生态三面开花
2021-04-30,海尔智家一季度营收和净利双涨，资产负债率为62.9%
2021-04-29,海尔智家：2021年一季度净利增幅185.3%，高端品牌卡萨帝、空调业务增长抢眼
2021-04-29,海尔智家(600690.SH)一季度净利润升185.33%至30.54亿元
2021-04-26,海尔智家：公司商誉主要包括GEA和Candy
2021-04-26,白色家电板块异动拉升 海尔智家早盘涨超3%
2021-04-21,明星基金经理Q1调仓露出！海尔智家、中国平安、锦江酒店位列前三
2021-04-12,海尔智家(06690.HK)4月12日耗资1369.1万元回购43.08万股A股
2021-04-02,海尔智家：公司已建成16家互联工厂
2021-04-01,海尔智家港股市值突破3000亿 机构纷纷看好
2021-04-01,两日最高涨幅9.70%！海尔智家股价持续走高，今日早盘涨幅超5%
2021-04-01,海尔智家逆流之路：数字化转型+生态转型全面结果 海内外市场超预期增长
2021-04-01,定义新厨房！智能家居时代 海尔新厨房到底“新”在哪？
2021-03-31,年报利好推动海尔智家A+港股双双上涨 全天涨幅超过4%
2021-03-31,早盘涨幅超6%！海尔智家2020年报业绩超预期获投资者认可
2021-03-31,海尔智家2020年净利增长8.17%：董事长梁海山薪酬256万
2021-03-30,海尔智家2020年报：海外收入破千亿 经营利润增长26.97% 创历史新高
2021-03-25,海尔智家：截止2020年9月30日 公司商誉为233.44亿元人民币
