Time,Content
2021-11-29,浦东建设：为提升闲置资金使用效率 向浦发银行等购买委托理财产品
2021-11-24,科远智慧回复关注函：尚未收到浦发银行南通分行提供的任何质押手续证明材料
2021-11-22,浦发银行(600000.SH)：发行金融债券获银保监会核准
2021-11-19,浦发银行给予上海国际集团150.4亿元人民币综合授信额度
2021-11-19,浦发银行(600000.SH)：同意给予上海国际集团综合授信额度150.4亿元
2021-11-16,科远智慧近3亿存款“毫不知情”被质押？浦发银行回应！
2021-10-31,浦发银行(600000.SH)第三季度净利润116.98亿元 同比下降25.90%
2021-10-29,浦发银行：前三季度营收1434.8亿元，连续7季度实现不良“双降”
2021-10-29,浦发银行：前三季度营业收入1434.8亿元 归属于母公司股东的净利润415.36亿元
2021-10-27,浦发银行信用卡中心上半年平均每千万个人客户投诉量位居在沪持牌信用卡中心首位
2021-09-15,航新科技(300424.SZ)：拟向浦发银行广州分行申请授信额度1亿元
2021-08-28,浦发银行(600000.SH)：上半年归母净利增3.05%至298.38亿元
2021-08-13,浦发银行(600000.SH)：同意给予东方证券综合授信额度195亿元
2021-07-25,智度股份：控股子公司与浦发银行等签署合作协议 共建供应链金融服务体系
2021-07-16,斥资400多万锁定两年 浦发银行开启新一轮高管增持
2021-07-15,浦发银行(600000.SH)：5名高管合计买入43.55万股
2021-07-13,浦发银行(600000.SH)2020年度普通股分红派息10派4.8元 股权登记日为7月20日
2021-06-24,浦发银行：公司持续推进网点建设和布局
2021-06-03,浦发银行(600000.SH)：董桂林董事任职资格获中国银保监会核准
2021-05-26,天泽信息(300209.SZ)：收到浦发银行的催收函等 要求7日内归还贷款本金1.89亿元及相关利息
2021-04-22,浦发银行困局：上市22年首次利润下滑 理财业务投诉量位居股份行首位
2021-04-21,浦发银行私行部老总遭举报！复旦硕士或涉嫌论文抄袭？查重率高达53.4%
2021-03-31,浦发银行与中国信息通信研究院成立数字金融联合创新中心
2021-03-31,以“智”提质 浦发银行提升数字化远程客户服务体验
2021-03-31,浦发银行：公司营业收入主要由利息净收入、手续费及佣金净收入、和其他净收入构成
2021-03-29,浦发银行公布2020业绩，净利润现上市22年来首次负增长
2021-03-27,浦发银行2020年净利583亿下滑0.99%：董事长郑杨薪酬80万
2021-03-27,浦发银行2020年盈利指标下滑，股价长期破净，股东大举套现金额超46亿元
2021-03-26,浦发银行(600000.SH)完成发行2021年第一期金融债券
2021-03-26,浦发银行(600000.SH)2020年度净利润降0.99%至583.25亿元 拟10派4.8元
2021-03-26,建设机械(600984.SH)拟向浦发银行西安分行申请办理2亿元授信额度
2021-03-19,浦发银行分/支行乱象：贷款被挪用，违规通过贷款、理财提供融资
2021-03-17,天赐材料(002709.SZ)：子公司九江天赐拟向浦发银行九江分行申请不超2亿元项目贷款
2021-03-15,浦发银行：获准发行不超600亿元金融债券
2021-03-12,浦发银行(600000.SH)获准发行不超600亿元金融债券
2021-03-02,浦发银行携手汇添富开启银基生态合作新模式
2021-02-02,开除党籍!浦发银行原副行长穆矢严重违纪违法
2021-02-02,太大胆！夫妻共贪，为防被查伪造证据，浦发银行原副行长离职3年后被开除党籍
2021-01-27,浦发银行2020年度净利583.25亿下滑0.99% 资产质量持续向好
2021-01-04,宝明科技(002992.SZ)：拟新增向浦发银行深圳分行龙华支行申请综合授信额度2.8亿元
2020-12-29,阳普医疗(300030.SZ)：浦发银行批复予公司1.5亿元授信额度
2020-12-29,浦发银行(600000.SH)：董事会同意给予国泰君安证券综合授信额度246亿元
2020-12-29,[中科金财]中科金财与浦发银行北京分行“基于API的场景适配中台产品”入选北京金融科技创新监管试点
2020-12-22,浦发银行(600000.SH)：吴弘独董任职资格获银保监会核准
2020-12-14,浦发银行董事刘培峰因工作调动原因辞职
2020-12-11,溢多利(300381.SZ)拟向浦发银行珠海分行申请不超1.45亿元综合授信额度
2020-12-10,北元集团(601568.SH)：董事会同意公司与浦发银行榆林分行建立战略合作关系
2020-11-24,"[正邦科技]浦发银行南昌分行党委书记、行长黄旭东一行抵正邦座谈,助力正邦冲刺千亿目标,挺进世界500强"
2020-11-20,[中科曙光]签了!中科曙光与浦发银行开启战略合作
2020-11-12,浦发银行(600000.SH)：同意给予上海国际集团综合授信人民币80.4亿元、港币5亿元
2020-11-04,[新凤鸣]浦发银行杭州分行副行长金晓峰一行莅临指导
2020-11-01,浦发银行2020年前三季度净利447.42亿 同比下滑7.46%
2020-10-31,浦发银行：2020年前三季度主要财务指标
2020-10-22,浦发银行：“浦发转债”2020年付息事宜的公告
2020-10-15,浦发银行：第七届董事会第十四次会议决议公告
2020-10-10,[上海建工]集团与浦发银行签署战略合作备忘录
2020-09-15,新雷能(300593.SZ)：拟向浦发银行申请5000万元综合授信
2020-09-15,浦发银行职工监事张宜临因已届退休年龄辞任
2020-09-04,[云南能投]浦发银行昆明分行到集团交流座谈
2020-08-31,浦发银行2020年上半年净利289.55亿减少9.8% 集团实现利息净收入下降
2020-08-30,9月解禁股数降逾五成 下周浦发银行、牧原股份解禁市值超百亿
2020-08-28,浦发银行：上半年营收1014.07亿元 非利息净收入占比升至38.98%
2020-08-28,浦发银行半年报：上半年实现净利润289.55亿元 同比下降9.81%
2020-08-14,浦发银行获批筹建理财子公司 净值型理财产品规模已达9000亿
2020-08-14,浦发银行获批筹建理财子公司 净值型理财产品规模已达9000亿
2020-08-14,浦发银行获批筹建理财子公司 净值型理财产品规模已达9000亿
2020-08-13,规模近1.5万亿！又一家银行理财子公司获批筹建 注册地在上海
2020-08-12,浦发银行与华为签署全面战略合作协议
2020-08-11,浦发银行“12宗罪”，被罚2100万！
2020-08-11,浦发银行7年12宗违法违规 收上海银保监局2100万罚单
2020-08-11,浦发银行镇江分行违法遭罚 未及时申报国际收支统计
2020-08-06,浦发银行奉贤支行违法遭罚 部分员工违规经商办企业
2020-08-06,浦发银行南市支行违法遭罚50万 投后管理严重不审慎
2020-07-31,浦发银行石家庄分行架起金融服务“连心桥” 与企业“疫”路同行
2020-07-27,[佛燃能源]佛燃能源与浦发银行佛山分行举行党建合作共建签约授牌仪式
2020-07-15,浦发银行本溪分行2宗违法遭罚 贷款支付管理不合规
2020-07-14,浦发银行天津一支行三宗违法遭罚 未按规定报送资料
2020-07-08,浦发银行大连分行4宗违规遭罚190万 贷款未按约定用途
2020-07-07,浦发银行重庆分行小微信贷中心总经理遭警告 管理存责
2020-06-30,浦发银行：银保监会同意公司发行不超过800亿元的二级资本债券
2020-06-29,浦发银行监事会主席孙建平辞职 由于已届退休年龄
2020-06-29,浦发银行监事会主席孙建平因已届退休年龄辞任
2020-06-22,*ST沈机一字跌停 进出口银行交通银行浦发银行等持股
2020-06-19,浦发银行：2019年年度股东大会决议公告
2020-06-18,浦发银行：第七届董事会第十次会议决议公告
2020-06-10,浦发银行重庆分行4宗违法遭罚200万 贷前调查不尽职
2020-06-09,浦发银行重庆分行原副行长遭处罚 对违规负领导责任
2020-06-08,[海宁皮城]皮城担保与浦发银行签署2亿元战略合作协议
