Time,Content
2021-12-01,硅片降价！隆基股份(601012.SH)跌3%创逾1个月新低
2021-12-01,A股头条：原油重挫，欧美股市全线下跌；强制性电子烟国标征求意见稿发布；隆基股份1年半来首次下调硅片报价
2021-11-26,承压原料涨价又被对手“抢食” 隆基股份能否守住单晶硅龙头地位？
2021-11-25,光伏股再度走弱 隆基股份跌4%
2021-11-24,光伏股集体走弱：隆基股份、阳光电源跌超2%
2021-11-24,隆基股份签订硅片销售框架合同 预估本次合同总金额约70.41亿（不含税）
2021-11-23,【晚间重要公告】美的集团拟全面收购KUKA股权并私有化、隆基股份与一道新能源签订70亿元硅片销售框架合同
2021-11-23,隆基股份与一道新能源签订70.41亿元硅片销售框架合同
2021-11-23,隆基股份：与一道新能源签订70.41亿元硅片销售框架合同
2021-11-23,隆基股份(601012.SH)：签订70.41亿元的硅片销售框架合同
2021-11-11,隆基股份获核准公开发行70亿元可转债
2021-11-11,隆基股份：获核准公开发行70亿元可转债
2021-11-11,隆基股份(601012.SH)获核准公开发行70亿元可转债
2021-11-11,光伏股普涨：隆基股份高开2.31%
2021-11-05,隆基股份(601012.SH)：控股股东李振国质押3000万股
2021-11-05,隆基股份跳水跌超6% 荷兰子公司遭跨境临时禁令
2021-11-04,隆基股份(601012.SH)：公司收到荷兰法警正式送达的跨境临时禁令
2021-11-04,隆基股份：公司收到荷兰法警正式送达的跨境临时禁令
2021-11-04,“逆势拉升才是龙头的姿态！”5000亿光伏龙头昨暴跌今拉涨，风电板块掀涨停潮
2021-11-04,隆基股份盘初涨近3% 强调不会对美国单一市场产生重大依赖
2021-11-04,隆基股份回应美国海关暂扣令报道；四连板吉鑫科技提示风险；瓮福集团拟借壳中毅达
2021-11-04,A股头条：美联储将于11月启动缩债计划；隆基股份证实产品在海外被扣
2021-11-03,隆基股份：公司已建立并完善了应对暂扣令管理措施
2021-11-03,"""光伏茅""隆基股份大跌宣告大顶已现 大盘周四“应该”大跌！"
2021-11-03,"隆基股份大跌预示光伏板块行情终结 周四大盘""应该""收中长阴"
2021-11-03,隆基股份(601012.SH)澄清：美国海关的暂扣令(WRO)暂未对公司经营造成重大不利影响
2021-11-03,隆基股份澄清：对美国市场的发货仍在正常进行 美国海关暂扣令暂未对经营造成重大不利影响
2021-11-03,【龙虎榜】隆基股份11月3日成交明细
2021-11-03,北向资金今日净买入7.31亿元 隆基股份净卖出超16亿元
2021-11-03,60万股民跌懵了！隆基股份一天蒸发近500亿！背后又是美国下狠手？最新解读来了
2021-11-03,收评：A股三大指数震荡收跌沪指失守3500点，煤炭、养殖板块抢眼，隆基股份大跌近9%
2021-11-03,隆基股份放量暴跌，公司回应“组件遭美国海关扣留”传闻：正在核实
2021-11-03,隆基股份盘中逼近跌停 市值跌破5000亿元
2021-11-02,北向资金今日净买入23.65亿元 隆基股份获净买入12.95亿元
2021-11-02,隆基股份三季度遭公募减仓近51亿 硅料涨势凶猛净利增速创三年新低
2021-11-02,股价创新高后遭董事减持，基金三季度减持隆基股份超50亿元
2021-11-01,隆基股份：董事集中竞价减持股份计划。
2021-11-01,隆基股份：董事白忠学拟减持不超2.8万股股份
2021-11-01,隆基股份(601012.SH)：发行可转债申请获证监会审核通过
2021-11-01,隆基股份(601012.SH)：董事白忠学拟减持不超2.8万股
2021-11-01,光伏股集体走强：隆基股份、天合光能和晶澳科技创历史新高
2021-11-01,两年大赚超20亿！福建前首富、知名牛散陈发树精准抄底中国中免，建仓隆基股份三年股价涨1400%
2021-10-29,投资者向中环股份提问有无收购隆基股份的计划 公司称“目前没有相关计划”
2021-10-29,【A股复盘】市场超跌反弹，新能源YYDS！宁德时代、隆基股份放量大涨，巨头挺进“元宇宙”引爆概念股
2021-10-29,A股异动 | 隆基股份涨5% 第三季净利同比增14.39% 隆基HJT电池效率达26.3%
2021-10-28,隆基股份(601012.SH)：第三季度净利升14.39%至25.63亿元
2021-10-28,隆基股份：第三季度净利25.63亿元 同比增长14.39%
2021-10-20,光伏板块逆势上涨 隆基股份一度涨近6%
2021-10-13,光伏股集体拉升：锦浪科技涨超8%，隆基股份涨近5%
2021-10-13,隆基股份(601012.SH)涨近4% 再次上调硅片价格
2021-10-08,隆基股份跌3.55% 中信证券八月底喊买入目标价124元
2021-10-07,隆基股份(601012.SH)：荷兰鹿特丹地方法院的相关判决不会对公司经营造成实质性影响
2021-09-29,隆基股份(601012.SH)：控股股东李振国解质2800万股
2021-09-27,隆基股份控股股东李振国质押1600万股 用于个人资金周转
2021-09-27,隆基股份(601012.SH)：控股股东李振国质押1600万股
2021-09-13,连城数控依赖隆基股份关联收入占比超9成 高层换血、减持套现齐上阵
2021-09-13,连城数控依赖隆基股份关联收入占比超9成 高层换血、减持套现齐上阵
2021-09-12,隆基股份(601012.SH)：控股股东李振国解质2800万股及质押2000万股、李春安解质4620万股
2021-09-10,隆基股份控股股东李振国质押2000万股 用于为公司办理银行授信业务提供担保
2021-09-08,隆基股份跌3.23% 中信证券一周前喊买入目标价124元
2021-09-01,隆基股份又跌4.95% 中信证券昨刚喊买入目标价124元
2021-09-01,隆基股份净利失速股价日跌8% 高瓴资本入股8个月狂赚125亿
2021-09-01,隆基股份净利失速股价日跌8% 高瓴资本入股8个月狂赚125亿
2021-09-01,隆基股份净利失速股价日跌8% 高瓴资本入股8个月狂赚125亿
2021-09-01,隆基股份净利失速股价日跌8% 高瓴资本入股8个月狂赚125亿
2021-09-01,隆基股份净利失速股价日跌8% 高瓴资本入股8个月狂赚125亿
2021-08-31,隆基股份跌8% 中信证券今刚喊买入目标价124元
2021-08-31,隆基股份发半年报股价跌8% 净利增速不敌营收ROE降
2021-08-31,隆基股份2021年半年度净利49.93亿元 同比净利增加21.30%
2021-08-31,隆基股份(601012.SH)一度逼近跌停 硅料涨价致Q2归母净利润仅增10.59%
2021-08-31,隆基股份半年净利约50亿元，“光伏茅”年初就已布局剑指万亿市场
2021-08-30,隆基股份中期业绩出炉 高瓴、陈发树二季度按兵不动
2021-08-30,隆基股份(601012.SH)：上半年净利增21.3%至49.93亿元
2021-08-30,隆基股份：上半年净利49.9亿元 同比增21.3%
2021-08-27,北向资金净买入62.03亿元 隆基股份净买入居首
2021-08-27,北向资金今日净买入62.03亿元 隆基股份净买入居首
2021-08-24,北上资金净买入53.15亿元 隆基股份获净买入13.4亿元
2021-08-24,北向资金今日净买入53.15亿元 隆基股份净买入居首
2021-08-09,【公告抢先看】晚间重要公告：水井坊拟调整回购股份方案、隆基股份与信义光能签订光伏玻璃长期采购框架协议
2021-08-09,信义光能(00968.HK)与隆基股份订立太阳能玻璃购销协议
2021-08-09,隆基股份：与信义光能签订光伏玻璃长期采购框架协议
2021-08-09,隆基股份(601012.SH)：与信义光能签订光伏玻璃长期采购框架协议
2021-08-09,隆基股份跌4% 首创证券高点喊买
2021-07-22,基金抱团50强出炉！宁德时代、隆基股份等多只新材料概念股获集中加仓
