Time,Content
2021-11-30,山东黄金(600547.SH)：拟申请注册发行不超100亿元超短期融资券
2021-11-30,山东黄金：拟申请发行总额不超过100亿元超短期融资券
2021-11-23,山东黄金(600547.SH)：完成发行5亿元超短期融资券
2021-11-15,山东黄金(600547.SH)：黄金集团累计增持440万股
2021-11-05,山东黄金(600547.SH)：7794.8821万股限售股将解禁
2021-10-27,山东黄金(600547.SH)：第三季度归母净利降84.25%至1.09亿元
2021-10-26,山东黄金(01787.HK)获Schroders PLC增持28.35万股
2021-10-18,山东黄金(01787.HK)发行5亿元超短期融资券
2021-10-18,山东黄金(600547.SH)：完成发行5亿元超短期融资券
2021-10-15,山东黄金(600547.SH)：预计前三季度净亏损约12.5亿元
2021-09-24,稳外拓内加快资源并购 山东黄金增长路径清晰可见
2021-09-12,山东黄金控股股东拟以不超5亿元增持A股 承诺一年内不减持本次增持股份
2021-09-12,山东黄金(600547.SH)：控股股东拟以不超5亿元增持A股 已增持49.97万股
2021-09-12,山东黄金：控股股东拟不超5亿元增持公司股份
2021-09-01,山东黄金(01787.HK)遭Schroders PLC减持126.835万股
2021-08-27,20家子公司有一半不盈利，山东黄金上半年亏损13.63亿元
2021-08-26,山东黄金2021年半年度亏损13.63亿元 同比由盈转亏
2021-08-26,山东黄金(600547.SH)：上半年净亏损13.63亿元
2021-08-05,山东黄金(600547.SH)：莱州公司拟以20.34亿元收购鲁地金矿100%股权
2021-08-05,山东黄金(600547.SH)：莱州公司拟以4.31亿元收购天承矿业100%股权
2021-08-05,山东黄金：拟46.67亿元收购地矿来金100%股权及鸿昇矿业45%股权
2021-08-05,山东黄金(600547.SH)子公司拟以26.13亿元收购地矿来金100%股权、以20.54亿元收购鸿昇矿业45%股权
2021-08-03,山东黄金(01787.HK)获Schroders PLC增持1.675万股
2021-07-23,山东黄金(01787.HK)获Schroders Plc增持94.85万股
2021-07-22,山东黄金(01787.HK)获Schroder International Selection Fund增持232.45万股
2021-07-21,山东黄金(600547.SH)：成功发行5亿元超短融
2021-07-15,山东黄金2021年上半年预计亏损13.6亿 两家地方企业停产
2021-07-15,瑞信：降山东黄金(1787.HK)评级至“中性” 目标价下调至13.5港元
2021-07-15,山东黄金AH齐跌 预计停产导致上半年由盈转亏13.6亿元
2021-07-14,山东黄金(600547.SH)半年度净利预亏13.6亿元
2021-07-02,山东黄金(01787.HK)获Schroders Plc增持136.4万股
2021-06-25,山东黄金(01787.HK)：山东黄金香港公司拟申请不超2.75亿美元贷款
2021-06-25,山东黄金(01787.HK)拟4.15亿元公开挂牌转让闲置固定资产
2021-06-25,山东黄金(600547.SH)：莱州公司拟1.69亿元收购焦家金矿采矿权、探矿权及相关土地资产
2021-06-08,山东黄金：矿山企业生产领用材料主要是指生产中需要使用的炸药、钢球、衬板、充填材料等
2021-06-08,山东黄金：公司采矿权缴纳的矿权权益金计入矿权原值在无形资产原值中体现
2021-06-08,山东黄金：公司不存在需要停产的情况
2021-06-08,山东黄金：公司资产负债表中存货下分类主要有原材料、周转材料、在产品、库存商品、消耗性生物资产等
2021-06-08,山东黄金：截至目前矿山尚未恢复原有作业水平是公司未能达产的主要原因
2021-06-08,山东黄金：公司贝拉德罗金矿在正常生产运行中
2021-05-26,山东黄金：公司未来资源增量主要来源于自有矿山探矿增储和并购新的资源两种途径
2021-05-26,山东黄金：黄金成本中的原材料主要是生产领用材料 按照实际采购费用计算成本
2021-04-30,山东黄金：公司于2021年3月完成对卡蒂诺资源有限公司100%股份的收购
2021-04-14,安全检查致主力矿山停产 山东黄金一季度预亏2.5亿～3.5亿
2021-04-13,山东黄金(600547.SH)一季度预亏2.5亿-3.5亿元 同比盈转亏
2021-04-13,山东黄金AH齐跌 一季度预亏2.5亿元-3.5亿元
2021-04-13,山东黄金2021年一季度预计亏损2.5亿至3.5亿 多处矿山停产安全检查
2021-04-01,山东黄金：2020年业绩大幅增长 未来成长空间确定性高
2021-03-30,山东黄金2020年净利22.57亿同比增长75% 黄金销售价格增加
2021-03-30,山东黄金(600547.SH)：2020年度净利升75.05%至22.57亿元 拟10派0.5元
2021-03-28,山东黄金(600547.SH)披露开展矿山安全检查进展
2021-03-17,山东黄金(01787.HK)发行5亿元超短期融资券
2021-03-17,山东黄金(600547.SH)：完成发行5亿元超短期融资券
2021-03-16,山东黄金(01787.HK)3月30日举行董事会会议审批全年业绩
2021-03-09,山东黄金(01787.HK)获Schroders Plc增持74万股
2021-02-23,山东黄金(01787.HK)获Schroders Plc增持210.52万股
2021-02-19,山东黄金(600547.SH)：拟推广三山岛金矿“国际一流示范矿山建设”
2021-02-18,山东黄金：公司三季度短期借款增加的主要原因是公司及子公司新增短期借款融资所致
2021-02-16,山东黄金(01787.HK)获Schroders Plc增持124.6万股
2021-01-29,山东黄金2020年预计净利20亿-26.5亿增加55%-105% 国际金价大幅度上涨
2021-01-29,山东黄金：预计2020年净利同比增加55%到105%
2021-01-29,山东黄金：私有化恒兴黄金获批 拓展黄金资产布局
2021-01-17,山东黄金(600547.SH)：中证监核准公司增发不超过约1.595亿股H股
2021-01-15,山东黄金(600547.SH)：中国证监会核准公司增发境外上市外资股
2021-01-14,山东黄金(01787.HK)获Schroders Plc增持70.9万股
2021-01-11,山东黄金(600547.SH)：2.46亿股限售股1月18日解禁
2020-12-21,山东黄金(600547.SH)：完成发行13亿元可续期公司债券
2020-12-21,山东黄金(01787.HK)发行13亿元可续期公司债券
2020-12-15,山东黄金(01787.HK)购回及注销2551万股A股股份
2020-12-08,山东黄金(01787.HK)获Schroders Plc增持152.6万股
2020-12-04,山东黄金(01787.HK)获摩根大通增持304.3万股
2020-12-03,山东黄金(01787.HK)获Schroders Plc增持364.95万股
2020-11-25,[山东黄金]赤峰柴矿公司“三线”联防 织密“百日安全”防护网
2020-11-16,[山东黄金]玲珑金矿荣获“2020年烟台企业100强”称号
2020-11-13,[山东黄金]三山岛金矿西岭-600m至-980m标高进风井反井钻机导孔精准贯通
2020-11-03,[山东黄金]赤峰柴矿公司“四字方针”全力冲刺四季度“稳超产”目标
2020-11-02,[山东黄金]赤峰银铅公司进入国家级“绿色工厂”名录
2020-10-29,山东黄金前三季度净利18.43亿增长94.62% 销售费用减少及子公司固定资产处置收益同比增加
2020-10-28,山东黄金(600547.SH)：前三季净利升94.62%至18.43亿元
2020-10-27,山东黄金(01787.HK)：山东黄金香港将要约期延长至12月31日前继续可被接纳
2020-10-23,山东黄金(01787.HK)获Schroders Plc增持307.23万股
2020-10-20,山东黄金：第五届董事会第四十五次会议决议公告
2020-10-16,山东黄金：2020年前三季度业绩预增公告
2020-10-16,[山东黄金]三山岛金矿大数据平台项目荣获三个省级一等奖
2020-10-15,山东黄金：2020年前三季度业绩报告预告
2020-10-15,山东黄金2020年前三季度净利17.5亿至19.5亿 国际金价大幅度上涨
2020-10-15,山东黄金：自产黄金销售毛利增幅较大 预计前三季度实现净利17.5亿元至19.5亿元
2020-10-15,山东黄金业绩预告：前三季度净利润预增85%-105%
2020-10-14,山东黄金：2020年第四次临时股东大会决议公告
2020-10-13,山东黄金：第五届董事会第四十四次会议决议公告
2020-10-09,山东黄金：第五届董事会第四十三次会议决议公告
2020-10-09,山东黄金：私有化恒兴黄金控股有限公司暨股票复牌的公告
2020-09-28,贵金属板块拉升 赤峰黄金领涨 山东黄金等多股跟张
2020-09-22,[山东黄金]“金融知识普及月”活动口号您知道吗
2020-09-22,[山东黄金]新城金矿荣获“绿色矿山科学技术奖重大工程一等奖”
2020-09-18,山东黄金(600547.SH)：完成发行5亿元超短期融资券
